,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,10193403.00683024,71398845.30158433,10939276.863514356,2631893.588468176,15655500.387279507,16216964.138633784,5405373.455217686,4530046.6051735515,2616469.262827593,4581456.31248472,68455350.43634167,15045469.4011529,9805711.684478384,1810430.9308647835,2082124.6945276607,11255824.311779633,15738370.716030575,27699944.521987114,9754255.898147993,75786650.8239008,14447071.300241625,4322135.855524143,23076264.99575367,5205401.169284721,4293392.899100274,1476538.6242055288
2006,10253650.617536455,62634358.37121683,10515618.853764364,3102586.8634724226,16751038.913752476,18637178.857812643,5759509.317653374,5027580.399904636,2914604.4753174884,5156395.209643478,79178118.8305716,16218302.58506063,9335515.977860412,2921142.2886597733,2784682.0937054395,18979717.50155196,18592449.135391556,27363222.701309606,10587959.087083511,86008553.05404855,12138327.698605223,3271882.7955134134,21137113.737197034,5348147.742862251,4666304.191268731,1780478.10968525
2007,15525469.945847701,61301166.24021288,10994184.305629939,3420869.385464762,21956727.23679794,25164418.37641878,10003457.172089368,5977949.910243682,2250343.0497305393,4910694.2119042985,72865149.56441478,16823071.083506234,10319000.592119085,4564801.022241211,4389630.122847721,22963667.0073014,29488870.16815072,35863920.38795121,10271413.737616042,95778096.0458382,18329202.337945078,5372719.618649706,18102188.491546452,6326413.430921558,5648446.766294393,1916811.3918827237
2008,6458331.577167453,39874293.745212056,9187929.630727943,1808544.71931189,20421341.937254418,19408307.133686252,7749268.864871128,5424960.637441893,2903140.8364157933,2577906.909652302,46463685.23503681,15241744.3771558,3788093.115752852,4376297.681790457,2958404.7294163555,20362845.727841325,20459796.36248015,31580314.10092492,8061865.093735864,83604801.28954361,14233161.084902178,4671426.706924773,13547526.712361166,6051058.372653759,3676409.6765456027,1950591.0604820433
2009,8539524.233031416,37006975.43400541,5150048.555092056,1941973.4506744102,15540167.004325598,14153249.31607541,13878814.357675403,7001042.848218527,3575081.6511398745,1956410.208093439,40062074.2822013,5115731.305907198,2684812.106138164,790394.8096417306,2410428.966306008,10552437.262638247,43784537.97210843,34956638.01842718,4968572.672530223,94135485.61158037,13195818.526694445,7322745.933807704,11904249.24834643,4886462.828492661,4515828.9578795815,2786500.4725532355
2010,11413919.695289942,78198244.48429985,5187210.611128264,2187427.7574216453,25655231.956306063,13730476.448766321,8167437.438170615,6836710.344308178,3914840.453884354,2664581.2540439786,53001174.20948962,8505334.1664884,8061889.156902632,1404334.4231725188,3130083.2250697166,10787282.801214391,18763197.4933532,35756573.847963445,9361012.581698345,99766761.51024385,15598069.42756214,10760318.505798878,19140418.833092008,7083133.073781127,4800203.9021704625,1694691.4571919052
2011,8686352.529769596,71639904.25505526,9407804.306310166,2174509.3504737862,20250788.419447456,21431352.779717166,5755785.274691025,5771888.091289952,3232632.5467995047,4497201.188259943,64428976.540708885,10162430.97534785,14487691.588531215,3029328.2369633545,3017546.15169473,13195849.366078466,8728763.056862755,40315657.350627266,9561928.791171899,122498785.86940818,16276443.681266962,13372437.42210844,19959090.50119792,6205142.036644838,4955441.846376115,2211043.790683603
2012,11563684.691386292,72899250.55774477,12044043.450845463,2992364.5545980376,22107452.093678027,25507873.670222905,12239027.484008722,7524273.06498251,3238953.5367864715,4443212.157547991,58762549.692008644,11584340.971047265,11818735.950152438,2550073.573100402,4841917.680766342,18053213.9262318,20199069.89948669,39434798.27815052,8645654.187511241,129725708.28392518,21815372.728721026,16038610.872139508,27908630.536551297,8462690.50406758,5571702.696012482,2913266.7003693962
2013,11443135.386310812,80759718.02622046,13048005.810604485,2741409.0655785603,22362353.925704814,24410286.301467527,9313899.632967694,10963840.996078953,3364912.6249773735,4659083.012291561,59601796.87543132,10087176.104470547,15345082.830184164,3883295.8723657695,4712575.594934571,18484016.582324915,22608267.887173373,43691676.7092722,9222013.262092428,145185718.34964117,23655973.444947273,10404833.3987307,25977466.302072927,8320857.109762052,5092452.423968057,2973602.1119068037
2014,10677418.598801928,77692659.235241,11298894.809635904,3072990.515043247,18741844.334004145,19036850.541498862,11607260.42311135,8733521.132195495,3703019.5366823804,3147912.8812564095,77453809.19522999,13308438.07032188,10735372.278064623,1286248.344721876,3930136.6083093756,14089095.747877527,36664948.24858053,50768969.48371517,9468065.59952102,146822898.7436016,21010565.79755198,8741897.617296576,19993121.33733687,7625694.918467743,6041324.585845572,2811730.9871064336
2015,13866040.870813329,94700691.80538097,13783053.136173006,4632559.121193473,8813525.344314422,19109886.32446485,12664353.69466117,8511006.386457995,4356747.234872677,4178757.1308357934,81137715.23557453,16709546.392791968,16524646.727995673,1514244.4371253331,4746471.522783105,7327406.668594935,69818647.17096399,59245281.34319998,9516557.44712669,175333848.22663522,27826594.89709836,6747074.749829598,22157479.352476418,8968854.111975035,7563089.948555218,2947471.711610085
2016,10615434.479705753,78473522.56775026,13825460.15656423,3356625.709057187,5697836.193916837,13089253.879709136,12996066.800323268,7839220.130102676,4140988.131391616,2497605.493854036,78216990.55382842,19355949.31907889,12018896.30554441,2341256.125311433,3928918.5723880795,6278701.779455957,38503079.47043994,58369352.47141311,8982875.210397433,168991348.46186295,27356033.16575965,9175307.900251012,19097690.86670282,8930189.980117232,8460175.440466842,2234851.3805325744
2017,12096541.304520335,69254754.58147793,8544803.861235287,2875244.9206682383,9137239.34175924,6563807.112593094,10297913.198620465,5276718.230581195,3591777.4785143705,4335230.837027519,76631370.17005976,24949360.37051931,15530856.709589206,2113883.432495159,3082593.974120318,11128395.398817519,17853626.27985512,57036267.82255495,9617459.605469285,163278917.18519205,26255124.061277088,10159106.971907388,22275884.169061407,7578177.567859668,8059918.879816571,2006964.5154355508
2018,12892789.238713847,79207356.79446566,9336491.935031826,3040378.300867294,9240345.451045636,7737604.359551314,8131631.02683566,6364326.599870184,3968664.286762588,4240709.255250617,72770196.02379905,20439693.866136964,9378450.835557254,2237589.671470162,5357691.971613137,10662353.528369056,10404198.261826348,61993383.36519652,11831829.477245145,178442419.78053984,26694969.15578533,15768189.78986949,21190149.11510428,9214621.141414016,7224345.62211904,2186087.296411505
