region,year,mode,variable,value
Reforming Economies,2060,car,pkm_per_capita,5575.758111104241
Reforming Economies,2060,cycling,pkm_per_capita,139.7114174593445
Reforming Economies,2060,heavy truck,tkm_per_capita,2402.057070314546
Reforming Economies,2060,highspeed train,pkm_per_capita,390.37348969045036
Reforming Economies,2060,highspeedtrain,load,310.333
Reforming Economies,2060,international shipping,tkm_per_capita,13781.632102857497
Reforming Economies,2060,medium truck,tkm_per_capita,1293.073548748613
Reforming Economies,2060,national shipping,tkm_per_capita,868.1566276706963
Reforming Economies,2060,plane,pkm_per_capita,4695.990029160823
Reforming Economies,2060,plane,tkm_per_capita,173.02066786856517
Reforming Economies,2060,train,load,29.483195
Reforming Economies,2060,train,pkm_per_capita,2581.107235414892
Reforming Economies,2060,train,tkm_per_capita,2682.7923251510765
Reforming Economies,2060,walking,pkm_per_capita,228.36410632260737
Subsaharan Africa,2019,airplane,load,124.0
Subsaharan Africa,2019,bus,load,33.634837499999996
Subsaharan Africa,2019,bus,pkm_per_capita,1256.0648074287305
Subsaharan Africa,2019,car,load,1.9521562499999998
Subsaharan Africa,2019,car,pkm_per_capita,524.7654643277923
Subsaharan Africa,2019,cycling,pkm_per_capita,112.37246080146032
Subsaharan Africa,2019,heavy truck,tkm_per_capita,375.0044432698173
Subsaharan Africa,2019,highspeed train,pkm_per_capita,0.0
Subsaharan Africa,2019,highspeedtrain,load,310.333
Subsaharan Africa,2019,international shipping,tkm_per_capita,1938.9395315343818
Subsaharan Africa,2019,medium truck,tkm_per_capita,162.0113629160794
Subsaharan Africa,2019,national shipping,tkm_per_capita,185.7310012324033
Subsaharan Africa,2019,plane,pkm_per_capita,142.28732107684462
Subsaharan Africa,2019,plane,tkm_per_capita,7.615081934251424
Subsaharan Africa,2019,train,load,45.1454325
Subsaharan Africa,2019,train,pkm_per_capita,5.965993735937396
Subsaharan Africa,2019,train,tkm_per_capita,94.59339012685065
Subsaharan Africa,2019,walking,pkm_per_capita,262.20241150337057
Subsaharan Africa,2060,airplane,load,124.0
Subsaharan Africa,2060,bus,load,27.2645925
Subsaharan Africa,2060,bus,pkm_per_capita,3140.924745956684
Subsaharan Africa,2060,car,load,1.7771797500000002
Subsaharan Africa,2060,car,pkm_per_capita,1463.2532960493836
Subsaharan Africa,2060,cycling,pkm_per_capita,169.54105944480986
Subsaharan Africa,2060,heavy truck,tkm_per_capita,683.3385966360929
Subsaharan Africa,2060,highspeed train,pkm_per_capita,0.9254046964617916
Subsaharan Africa,2060,highspeedtrain,load,310.333
Subsaharan Africa,2060,international shipping,tkm_per_capita,3131.103348833765
Subsaharan Africa,2060,medium truck,tkm_per_capita,295.88949385630934
Subsaharan Africa,2060,national shipping,tkm_per_capita,223.36944514324458
Subsaharan Africa,2060,plane,pkm_per_capita,426.7846320059286
Subsaharan Africa,2060,plane,tkm_per_capita,14.375307305815047
Subsaharan Africa,2060,train,load,36.5951475
Subsaharan Africa,2060,train,pkm_per_capita,49.28866628589663
Subsaharan Africa,2060,train,tkm_per_capita,157.40215323710558
Subsaharan Africa,2060,walking,pkm_per_capita,691.1693446964541
USA,2019,airplane,load,124.0
USA,2019,bus,load,19.96091
USA,2019,bus,pkm_per_capita,3120.1541518492627
USA,2019,car,load,1.546746
USA,2019,car,pkm_per_capita,28367.852687113562
USA,2019,cycling,pkm_per_capita,115.45502702951696
USA,2019,heavy truck,tkm_per_capita,7481.096686794108
USA,2019,highspeed train,pkm_per_capita,14.25087423804221
USA,2019,highspeedtrain,load,310.333
USA,2019,international shipping,tkm_per_capita,31407.063358814932
USA,2019,medium truck,tkm_per_capita,2785.0620229678357
USA,2019,national shipping,tkm_per_capita,5784.283726026316
USA,2019,plane,pkm_per_capita,4183.815671047802
USA,2019,plane,tkm_per_capita,342.821855846365
USA,2019,train,load,26.79198
USA,2019,train,pkm_per_capita,933.8950112721446
USA,2019,train,tkm_per_capita,4724.630346342139
USA,2019,walking,pkm_per_capita,269.3950730393692
USA,2060,airplane,load,124.0
USA,2060,bus,load,18.38763
USA,2060,bus,pkm_per_capita,3582.3231315713374
USA,2060,car,load,1.490646
USA,2060,car,pkm_per_capita,27003.86966941054
USA,2060,cycling,pkm_per_capita,22.28121315965956
USA,2060,heavy truck,tkm_per_capita,9368.4814988358
USA,2060,highspeed train,pkm_per_capita,1010.1234098246406
USA,2060,highspeedtrain,load,310.333
USA,2060,international shipping,tkm_per_capita,35310.024593303264
USA,2060,medium truck,tkm_per_capita,3428.781226819742
USA,2060,national shipping,tkm_per_capita,5897.204528549315
USA,2060,plane,pkm_per_capita,9609.901549465736
USA,2060,plane,tkm_per_capita,554.6078551144637
USA,2060,train,load,24.6803
USA,2060,train,pkm_per_capita,1392.8662925350484
USA,2060,train,tkm_per_capita,7453.232259032278
USA,2060,walking,pkm_per_capita,1.4406644676511204
Western Europe,2019,airplane,load,124.0
Western Europe,2019,bus,load,21.35115
Western Europe,2019,bus,pkm_per_capita,2662.7178242380955
Western Europe,2019,car,load,1.594328
Western Europe,2019,car,pkm_per_capita,12688.025322675348
Western Europe,2019,cycling,pkm_per_capita,252.2476056052125
Western Europe,2019,heavy truck,tkm_per_capita,5628.558866967739
Western Europe,2019,highspeed train,pkm_per_capita,110.56509803809973
Western Europe,2019,highspeedtrain,load,310.333
Western Europe,2019,international shipping,tkm_per_capita,82287.3121975882
Western Europe,2019,medium truck,tkm_per_capita,1520.241018826009
Western Europe,2019,national shipping,tkm_per_capita,3341.1802703956337
Western Europe,2019,plane,pkm_per_capita,2701.34069034075
Western Europe,2019,plane,tkm_per_capita,125.72438920048984
Western Europe,2019,train,load,28.658
Western Europe,2019,train,pkm_per_capita,1160.2114997348783
Western Europe,2019,train,tkm_per_capita,208.0583466842719
Western Europe,2019,walking,pkm_per_capita,588.5781416442096
Western Europe,2060,airplane,load,124.0
Western Europe,2060,bus,load,19.29521
Western Europe,2060,bus,pkm_per_capita,4942.511424019263
Western Europe,2060,car,load,1.523317
Western Europe,2060,car,pkm_per_capita,15117.185730535939
Western Europe,2060,cycling,pkm_per_capita,153.13173222692092
Western Europe,2060,heavy truck,tkm_per_capita,8691.78107548234
Western Europe,2060,highspeed train,pkm_per_capita,385.48560330985566
Western Europe,2060,highspeedtrain,load,310.333
Western Europe,2060,international shipping,tkm_per_capita,99564.23974425097
Western Europe,2060,medium truck,tkm_per_capita,2319.2903300129155
Western Europe,2060,national shipping,tkm_per_capita,3888.976905005368
Western Europe,2060,plane,pkm_per_capita,5761.984901646397
Western Europe,2060,plane,tkm_per_capita,210.00031961730542
Western Europe,2060,train,load,25.89846
Western Europe,2060,train,pkm_per_capita,1809.532689607218
Western Europe,2060,train,tkm_per_capita,351.6169761397634
Western Europe,2060,walking,pkm_per_capita,116.82624154652467
