t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2021,26291.07224,34647.04811,8995.506406,5843.631659,6990.167808,5502.361116,3564.83551,820.5209095,2895.709785,6314.964683,24255.26638,12234.48341,10109.80979,4045.351099,4242.990882,9252.166309,6197.724134,2914.200033,14146.05245,8563.557453,3922.743746,2707.149075,22661.04986,22187.83523,1362.373908,1013.30408
2022,26614.19484,34920.28723,9140.737836,5981.776452,7088.212321,5640.758386,3626.011076,851.9070025,2980.021848,6377.055087,24549.74816,12596.7214,10333.5157,4198.117154,4396.067182,9458.466222,6292.825205,3131.486368,14520.85523,9123.751976,4090.232297,2840.670139,22853.88029,22587.50845,1391.999314,1042.271623
2023,26890.68982,35148.38875,9325.470434,6152.291769,7194.662767,5805.432775,3687.925991,886.7763163,3075.207317,6443.681968,24857.47128,12971.69674,10564.183,4359.56039,4564.075912,9678.698522,6387.73349,3379.160112,14950.51267,9711.762204,4270.943634,2989.444755,23063.32596,22980.04141,1422.990388,1074.488133
2024,27167.53809,35366.2743,9501.196556,6319.239283,7294.756182,5965.705849,3744.813126,923.4315607,3175.299572,6510.733341,25138.513,13335.53487,10846.52603,4528.231793,4791.691496,9885.556095,6476.817184,3628.43787,15338.63945,10304.49331,4460.575464,3138.259318,23262.86629,23337.82057,1456.416582,1107.669078
2025,27447.66017,35759.70349,9678.966181,6489.591177,7457.515735,6128.690609,3804.816091,961.7620268,3279.905609,6647.320698,25426.07574,13715.30067,11135.07382,4702.670206,5018.943329,10145.79629,6568.136678,3827.744189,15753.03671,10753.72194,4652.442165,3302.946832,23528.0538,23727.07735,1491.904297,1141.792028
2026,27837.86126,36151.98803,9898.283069,6707.958222,7603.191951,6301.118981,3970.705954,1019.329044,3440.535505,6839.950956,25745.14141,14083.536,11403.41088,4873.8183,5275.087724,10493.11718,6774.028532,4020.405332,16114.21108,11292.21691,4822.544808,3466.28626,23860.632,24046.54165,1554.774332,1178.682573
2027,28233.67399,36555.10467,10120.87018,6934.6419,7750.622711,6477.600836,4142.945494,1079.887091,3608.463319,7038.940561,26068.13296,14463.17786,11676.69892,5048.405457,5543.985014,10850.5151,6982.295712,4222.834302,16482.56258,11855.22391,4998.461427,3636.946435,24196.65644,24369.6019,1620.26867,1216.132949
2028,28592.95509,36970.74918,10347.57807,7170.53909,7899.752648,6658.751733,4321.840585,1143.540173,3784.00164,7244.580708,26395.24043,14854.03828,11954.86754,5226.303192,5826.177679,11217.90103,7192.771378,4435.414638,16859.53232,12443.90315,5181.190375,3815.413745,24537.68023,24695.87314,1688.53664,1254.283434
2029,28957.0198,37397.05711,10578.52848,7415.452474,8052.631,6844.799995,4507.665816,1210.390382,3967.285305,7457.071074,26725.98967,15255.86894,12238.05089,5406.589849,6121.927097,11595.61107,7405.332606,4658.488868,17245.53222,13059.06881,5370.889348,4000.727607,24883.3336,25027.19049,1759.663383,1292.997783
2030,29326.15943,37833.71758,10813.74493,7669.757201,8207.420137,7035.937623,4700.552225,1280.558397,4158.637011,7676.557184,27061.0948,15668.7689,12526.3122,5588.811542,6431.920058,11983.84305,7620.509538,4892.542969,17640.67914,13702.06881,5567.900184,4194.423337,25233.68262,25360.97944,1833.994251,1332.314773
2031,29734.0438,38186.65065,11043.22508,7924.432353,8343.791108,7220.837632,4882.040608,1350.649639,4354.173197,7883.763548,27423.08218,16061.95319,12789.14584,5753.565594,6691.246893,12315.50323,7819.362139,5107.002331,17978.43297,14222.03979,5756.479513,4368.976343,25536.66423,25673.768,1908.162733,1371.536724
2032,30147.69051,38547.30881,11276.81996,8188.717715,8481.522929,7410.668806,5070.116046,1423.972731,4557.810048,8097.167843,27789.02278,16465.0092,13057.98864,5918.129477,6962.243734,12655.15947,8020.451791,5330.587201,18322.78776,14759.56179,5952.010081,4550.564512,25842.89513,25988.01261,1985.429304,1412.421655
2033,30565.7613,38915.32363,11514.66875,8462.825744,8622.715064,7605.746906,5264.927382,1500.611688,4769.870613,8317.061626,28159.07361,16878.16247,13331.91562,6082.518261,7245.096634,13003.19827,8224.038006,5563.323909,18673.44457,15315.16665,6154.979804,4739.410349,26152.2167,26306.11442,2065.963515,1454.062759
2034,30988.05569,39290.41303,11756.86154,8746.93289,8765.53234,7806.119559,5466.680382,1580.682455,4990.489827,8543.587395,28533.06677,17301.55262,13610.85218,6246.445637,7540.391427,13359.62787,8430.401347,5805.592447,19030.00407,15889.45969,6366.439377,4935.695705,26464.22982,26627.37691,2149.893726,1496.555931
2035,31409.57568,39671.31641,12004.14229,8987.924578,8913.348936,7994.577373,5679.716761,1664.292567,5220.795037,8779.136594,28902.57213,17716.45645,13896.69673,6430.702964,7841.10923,13724.06256,8630.620659,6045.292955,19380.07098,16463.25528,6570.638541,5148.427727,26753.83088,26974.97853,2230.144872,1542.97775
2036,31841.34327,40010.01181,12244.44351,9238.841718,9057.666509,8180.376856,5886.23091,1752.469454,5472.314358,9005.418266,29303.13386,18098.0507,14176.3018,6598.096926,8097.131986,14021.204,8813.902845,6276.495151,19692.42076,16971.12833,6775.882441,5352.841958,27014.80166,27330.46951,2314.50024,1598.728006
2037,32277.37771,40355.56569,12489.01271,9498.701242,9205.034556,8371.377259,6099.753758,1844.480839,5733.35352,9238.195859,29708.94914,18488.704,14462.14074,6771.907704,8362.650792,14323.77729,8999.80181,6516.714887,20009.98524,17492.74992,6988.899784,5565.61101,27278.07169,27692.70412,2402.267595,1656.396742
2038,32717.44391,40706.71265,12738.01066,9767.682963,9355.471477,8567.626356,6320.356778,1940.40195,6003.282269,9477.571355,30117.44487,18888.22069,14754.66623,6951.468956,8638.584663,14632.5596,9188.173004,6766.120591,20332.89433,18028.33139,7209.718475,5786.882452,27543.53205,28061.10233,2493.533467,1715.956522
2039,33161.50085,41063.56458,12991.60477,10046.2625,9509.072851,8769.280614,6548.385461,2040.40345,6280.806724,9723.888161,30531.15845,19297.02657,15054.05687,7136.652376,8925.431863,14947.91488,9379.454103,7025.095749,20661.09416,18578.47523,7438.797435,6017.047056,27811.31594,28435.80345,2588.424319,1777.468817
2040,33609.20636,41425.98611,13249.90375,10334.7912,9665.929767,8976.51919,6784.11592,2144.621659,6564.902648,9977.227025,30950.05519,19715.25299,15360.47319,7327.361206,9223.59331,15270.10657,9574.028599,7293.982901,20994.60077,19143.60702,7676.446728,6256.482571,28081.48871,28816.79602,2687.059883,1840.970456
2041,34031.39794,41751.57493,13513.51812,10632.90892,9818.768461,9183.269969,7015.0371,2254.804803,6862.084594,10218.64713,31379.54228,20087.4625,15655.5714,7496.052798,9481.254046,15523.94135,9755.814089,7551.040397,21302.5224,19661.37775,7914.052743,6484.210821,28377.09632,29211.99544,2788.357347,1915.771424
2042,34455.07399,42081.60008,13782.11812,10941.87567,9974.843507,9395.738401,7253.4464,2369.590534,7161.022337,10466.5405,31813.67715,20466.81594,15957.25678,7668.838738,9747.80807,15782.09141,9940.618153,7817.155483,21613.74995,20191.51133,8160.412874,6720.404704,28675.78886,29613.69837,2893.548539,1993.331503
2043,34880.06509,42415.59929,14055.78319,11262.01179,10134.22125,9614.131909,7499.456937,2489.112244,7466.058097,10721.01847,32252.35017,20853.51893,16265.7507,7845.738947,10023.40085,16044.72296,10128.54776,8092.597194,21928.98833,20735.76926,8415.571944,6965.317708,28977.44634,30021.75151,3002.713013,2073.690446
2044,35307.03487,42753.4214,14334.61916,11593.74778,10297.03548,9838.519329,7753.231867,2613.526764,7784.821116,10982.19162,32696.09507,21247.67498,16581.07578,8026.850493,10308.55447,16312.03289,10319.68438,8377.668991,22248.09992,21292.69783,8680.00008,7219.322072,29282.24641,30436.07727,3115.956497,2156.964033
2045,35736.68363,43094.80182,14618.69054,11937.50075,10463.37871,10069.06464,8014.898995,2742.999412,8122.222385,11250.16213,33145.35881,21649.41069,16903.26437,8212.27446,10603.53488,16584.17417,10514.17435,8672.663952,22571.06327,21862.4845,8953.949592,7482.757189,29590.17634,30856.55487,3233.369529,2243.232558
2046,36120.5285,43387.58474,14912.3979,12289.62764,10625.41516,10300.83644,8270.792015,2877.817112,8484.392126,11504.72861,33595.52934,22020.0442,17213.82903,8377.285212,10853.90751,16803.1697,10697.4764,8955.603819,22866.22496,22358.77234,9225.661353,7733.139009,29899.21784,31253.33319,3352.567665,2340.230496
2047,36506.55836,43682.6153,15211.63889,12654.62931,10790.91229,10539.87234,8533.920289,3018.079271,8868.89875,11765.33187,34051.44477,22397.0987,17530.78609,8545.748711,11111.84664,17025.83082,10884.34741,9247.750227,23163.06075,22864.19384,9506.766819,7992.09859,30213.82813,31655.27273,3475.960592,2440.930004
2048,36894.99191,43979.76615,15516.43905,13033.03078,10960.00914,10785.37121,8804.175455,3164.008146,9276.440628,12032.02636,34513.30313,22780.77843,17854.30007,8717.751262,11377.5483,17252.1966,11074.48565,9549.406035,23461.45839,23378.66964,9797.611278,8259.915795,30531.58369,32062.32813,3603.669464,2545.403658
2049,37286.31732,44279.61333,15826.87925,13425.51296,11132.83174,11037.51539,9081.391992,3315.861373,9707.722543,12304.64857,34981.33905,23171.26451,18184.53982,8893.403351,11651.21776,17482.35909,11267.04867,9860.862118,23762.28516,23899.94052,10098.4663,8536.760167,30852.67892,32474.13858,3735.846716,2653.74436
2050,37680.65478,44583.48684,16143.16008,13832.79322,11309.40173,11296.26973,9365.427239,3473.881401,10163.42683,12582.43342,35455.23889,23568.41903,18521.19334,9072.511197,11932.24746,17716.47962,11462.98266,10182.26719,24062.55783,24435.08989,10408.67129,8821.929129,31176.20499,32888.20907,3872.617017,2765.818684
2051,38014.40553,44857.0736,16524.89864,14249.76954,11530.07598,11573.87865,9633.278369,3630.646344,10648.41323,12835.05748,35925.32552,23986.21015,18920.03507,9333.492616,12127.17003,17972.51817,11669.61192,10500.65112,24537.86287,24929.06098,10702.99178,9126.001694,31548.51822,33242.90434,4019.508499,2893.363037
2052,38351.08093,45132.35029,16915.57314,14679.28594,11754.95138,11858.09583,9908.544033,3794.159255,11155.52495,13092.72984,36401.62957,24411.24746,19327.21341,9601.381329,12325.12231,18232.16098,11879.80063,10828.72701,25022.26166,25432.54864,11005.44269,9440.121122,31925.28574,33601.19471,4171.803914,3026.537434
2053,38690.70651,45409.32743,17315.39118,15121.7191,11984.10661,12149.07558,10191.42635,3964.703039,11685.74468,13355.5511,36884.23314,24843.65506,19742.89989,9876.350594,12526.15094,18495.45785,12093.60822,11166.78615,25515.92426,25945.73061,11316.24565,9764.609885,32306.56096,33963.11645,4329.698851,3165.583104
2054,39033.30805,45688.0156,17724.56513,15577.45701,12217.62183,12446.97576,10482.13294,4142.572399,12240.09841,13623.62389,37373.21946,25283.55918,20167.26953,10158.57789,12730.30328,18762.45928,12311.09509,11515.12854,26019.02386,26468.78787,11635.6283,10099.80062,32692.39795,34328.70622,4493.395937,3310.751455
2055,39378.91153,45968.42546,18143.31227,16046.8993,12455.57867,12751.95788,10780.87703,4328.074327,12819.65733,13897.05286,37868.67283,25731.08818,20600.50094,10448.24501,12937.62742,19033.21644,12532.32265,11874.06318,26531.73683,27001.90476,11963.82444,10446.03643,33082.85142,34698.00102,4663.105095,3462.304499
