! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trvl_loadfactor.dat;;;;;;;;
real main.em.dem.trp.trvl.ModeT.loadfactor2[26,7](t) = [;;;;;;;;
unit=person/vehicle;;;;;;;;
;;;;bus;train;car;highspeedtrain;airplane
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7
1985;24;0;0;23.91678;32.10164;1.677854;310.333;124
1985;25;0;0;38.32634;51.44247;2.074492;310.333;124
1985;26;0;0;39.20564;52.62269;2.095776;310.333;124
1986;1;0;0;22.69275;30.45872;1.638654;310.333;124
1986;2;0;0;22.04387;29.58777;1.6174;310.333;124
1986;3;0;0;27.31469;36.66239;1.781215;310.333;124
1986;4;0;0;30.43691;40.85311;1.870115;310.333;124
1986;5;0;0;27.73348;37.2245;1.793453;310.333;124
1986;6;0;0;28.32534;38.01891;1.810576;310.333;124
1986;7;0;0;29.9143;40.15165;1.855596;310.333;124
1986;8;0;0;37.4939;50.32516;2.054094;310.333;124
1986;9;0;0;41.95807;56.31706;2.160752;310.333;124
1986;10;0;0;27.87843;37.41905;1.797665;310.333;124
1986;11;0;0;23.53194;31.58509;1.665651;310.333;124
1986;12;0;0;27.40073;36.77788;1.783738;310.333;124
1986;13;0;0;29.31898;39.3526;1.838887;310.333;124
1986;14;0;0;28.84143;38.71162;1.825348;310.333;124
1986;15;0;0;30.93278;41.51867;1.883764;310.333;124
1986;16;0;0;27.54032;36.96524;1.787821;310.333;124
1986;17;0;0;25.34049;34.01257;1.722085;310.333;124
1986;18;0;0;40.67471;54.59451;2.130757;310.333;124
1986;19;0;0;30.91179;41.4905;1.883189;310.333;124
1986;20;0;0;42.44038;56.96443;2.171894;310.333;124
1986;21;0;0;34.75286;46.64607;1.985106;310.333;124
1986;22;0;0;34.12982;45.80981;1.969012;310.333;124
1986;23;0;0;23.3189;31.29915;1.658848;310.333;124
1986;24;0;0;23.89878;32.07749;1.677286;310.333;124
1986;25;0;0;38.16655;51.228;2.070596;310.333;124
1986;26;0;0;39.19427;52.60743;2.095502;310.333;124
1987;1;0;0;22.56732;30.29037;1.634572;310.333;124
1987;2;0;0;21.93742;29.4449;1.613881;310.333;124
1987;3;0;0;27.30867;36.65432;1.781038;310.333;124
1987;4;0;0;30.40231;40.80666;1.869158;310.333;124
1987;5;0;0;27.65219;37.11539;1.791085;310.333;124
1987;6;0;0;28.20404;37.85609;1.807083;310.333;124
1987;7;0;0;30.11266;40.41789;1.861123;310.333;124
1987;8;0;0;37.6149;50.48756;2.057074;310.333;124
1987;9;0;0;41.87357;56.20364;2.158793;310.333;124
1987;10;0;0;27.95764;37.52537;1.799961;310.333;124
1987;11;0;0;23.41022;31.42173;1.661768;310.333;124
