t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2010,378047168.42800003,1434192852.0,240639766.54700002,113718427.57265,451674138.2590001,411625954.81200004,599907515.991,178502191.6215,75985638.8557,73952110.103,2192083280.04,552654303.625,349322485.91499996,132318260.64399998,108541339.902,490713222.153,1250411388.874,1322062482.04,303328584.103,10407945203.891298,968834770.103,166992932.902,444184052.599,154351885.08952498,226395012.65420002,62947739.3866
2011,394909711.133,1402865335.0,241105041.44300002,121736744.698892,766953022.3009999,486116509.721,530009705.35400003,188023883.2193,92052026.1241,76853024.45899999,2223666892.30724,664717643.784,386921165.18099993,131554849.851,114503935.98,552763067.4829999,1299502934.297,1581573541.243,290737771.293,11392784567.02,1086916939.4555001,184370380.292,435683005.428,159434502.130098,247395576.3937,71249430.22841
2012,382034705.625,1558445979.144,280274349.499,146087164.35672,868096617.0629998,497748756.36800003,614202710.86,240849651.02436,96393264.1265,89272864.883,1990183764.43824,607336519.6850001,437890709.763,139051838.60000002,136046821.319,660740947.41,1330608161.182,1655527902.5329998,336819659.89299995,12637429114.783,1046511226.6834999,323680915.68500006,448599105.00899994,162291231.835339,307191677.4358,160097164.381
2013,406034612.7509999,1492763077.0,254501882.261,138066947.3774432,847534318.914,539958525.008,571297265.816,270473989.76394,92975534.31279999,90038308.80099998,2040340873.98042,558213609.0259999,475968437.097,127807429.686,148057656.133,702616517.282,1301897439.784,1708360350.7319999,342917395.064,13878836919.176,997812078.5065,327979253.11647904,457316593.0620001,174093638.64264902,318077877.0007002,168970726.13068002
2014,387721707.365,1535157295.393,291159707.647,140037536.74953175,700709601.204,452511308.79923254,555919016.865,252477817.27157253,93233426.4242,87007423.563,2029864413.5150998,580885504.429,428100681.744,116279861.847,153789659.67700002,712019387.968,1317770961.7940001,1498112300.232,325295470.829,14404120263.207,1525197251.0535002,332119300.9455764,431281637.05700004,261098061.2228566,209377748.3867004,184460345.11276
2015,382691147.139,1579509406.668,281737476.8619999,153092782.38033906,701976550.342,435322139.9464651,571507696.5270001,279000712.97188,128407049.4714,90384631.989,1971529537.3219,639577624.368,473576639.267,104577817.72199999,163749673.58999997,688897775.2140001,1277934322.6966445,1654280082.724,364369412.923,13707046958.447,1528189001.0585,341507109.40386474,404664301.96999997,243652875.46776402,235838727.7739006,155353413.58662
2016,433924625.748,1606434013.0,281477518.649,156469321.1524852,701991642.5339999,398970240.0785477,660962675.968,248745698.02145347,128382730.375,94238300.61500001,1987765461.43052,634160118.349,597762052.0050001,100702935.607,170245568.001,630816148.6949999,1192316350.7783103,1786300430.5479999,414269488.95,14108496691.723999,1729485977.777,332474142.724153,448935853.622,219917896.48892057,437826390.99290425,71128342.09621999
2017,375842239.88299996,1687089050.0,259716836.6335479,155454601.05047035,692408575.8820001,454235786.1915194,744016672.664,301755697.607348,141407472.18708572,90663691.75414649,1936876439.8587794,658467828.3047718,540470928.2010001,134127791.866,175486749.534,622453390.68,1243196030.6854525,1778518293.0818303,401306035.011,13824081372.227999,1640348847.2534015,357639712.5278101,387829270.981,258252782.98302045,501427739.0413364,-115161270.93529287
2018,366381446.21500003,1687588340.9999998,305741951.1750959,155198744.54140708,685822965.7150002,448381166.3000871,798867808.2667786,312644532.1239699,149745791.04485914,101792307.43429293,2044846828.606319,745427304.9467982,461863218.312,145749211.102,212367754.993,670927897.906,1212822812.5643635,1925085796.8986602,391021867.96300006,13366583903.6038,1726291807.379091,377559855.8474672,382130746.576,270644599.0871804,474058702.78244066,100211908.32268775
2019,370965883.3593511,1646952377.86154,305609428.51921517,158241189.60506812,727394351.6868572,458964158.18561345,820971233.24647,327250900.6069211,157362597.5876815,102732675.05672513,1981734402.4632778,757744608.1761122,484157979.7106393,145212852.04451913,220496950.7658679,683265179.5250903,1240539416.7757046,2001331120.8244898,394684290.7998718,14101059274.89659,1638635855.788494,396405093.55039865,370289417.5850424,278028735.7980391,495860910.7387341,104876523.66928539
2020,363919502.5394396,1633850051.0819626,287997122.56482714,149485194.707941,734047949.2671204,432305407.8681063,841829504.2645482,321813402.5740909,158162377.21467033,100926879.74257569,1936449505.530561,751604780.7910271,516175813.83940125,144085450.042706,218925500.15490824,684556149.282044,1203002642.3182733,1905593138.6067877,404619306.9961296,14602679761.682173,1614156688.147621,397798796.7290165,371830220.86414844,279064407.5370037,490386522.77305764,101820657.95818262
2021,372813192.24272716,1685473927.1823726,313411717.24697316,166519431.5723336,768009310.9946012,486804827.05983853,894829833.4850854,339485890.6520243,166640561.5713223,106589374.29792328,2051951796.537709,798982049.9728483,588515447.8292127,151659922.38925135,230811738.57835934,731448860.154004,1256289746.9362888,2046307467.70936,414947129.1655863,15124282900.351631,1673450797.182435,408817334.2080561,380537198.1243729,286301197.42502946,518125160.64900327,108095761.43338376
2022,384251059.984381,1727694617.5307012,327973000.0733034,175597804.62967256,778704530.7515539,515500658.9899207,959439355.9197259,352474969.23153114,172011624.91447505,109977692.4783851,2132168265.842167,834931256.8862889,603865735.8403958,143095920.30957115,217780385.04710355,662643048.2208016,1367756988.0609221,2202885762.2300653,423633127.3133737,15434439458.991163,1762844792.4450061,432276206.0671982,397413974.761803,295697075.4202369,537475719.1954522,112004731.5861758
2023,393643704.181315,1755157581.0420063,344515679.82777286,183248151.318196,798315738.9609181,539754844.7088292,1010165113.2331583,359461451.731238,176040943.85287562,112984187.3281392,2205010528.163729,869312763.7052361,626894581.5857705,129530623.58187717,199293407.00576988,649448342.3732526,1438177201.096513,2347640962.952228,436102356.70158064,15915436822.594486,1869907457.4268103,461043049.456261,415672023.7565108,302705523.4142128,537838988.551679,113105695.17426331
2024,400115811.05375546,1772054120.2049274,357052743.72661054,185120527.88791633,825595777.2160516,551564285.9727522,1082895921.837812,375950699.3543027,185381911.8822858,116323111.5288993,2276058346.2539034,905052158.5387784,662082338.00871,136696818.62386835,209894997.05734843,676079488.5914872,1498108517.322846,2507183349.097531,448751388.5339006,16467567260.61316,1978211859.5143,490270328.76444644,426498884.77822345,309748505.3103185,542960878.7683446,118732824.71414313
