Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2019,61712007.97,39063798.09,431567758.5,129024202.6,91814684.54,34567915.09,20851781.19,112225626.5,237942421.6,442404207.3,87785893.43,324709810.1,2020280668,219869641.2,95843774.84,120739438.3,47296222.71,167202132.7,59128185.94,98395930.35,57897811.68,153148827.5,104611751.7,111631754.4,161481900.4,94249931.65
2020,23920476.93,19334.25294,149851116.5,8456993.47,9280403.131,19240.97182,4778155.883,13257369.79,78158935.6,119493277.9,12162273.27,139112522.9,589589885.2,37279729.47,12868419.24,52172129.96,23461650.8,91770055.08,29237113.62,17166614.8,9258631.319,69054.79717,18754619.34,18557605.12,99343067.86,40105052.56
2021,46418322.78,6312323.28,463353981.9,93259025.36,68534737.01,18318372.48,15674629.92,89609269.17,147294988.8,391726332.9,76607576.9,326675575.3,1935433623,156031092,71710090.29,97772691.34,40626499.86,134650786.9,47173608.8,45899023.92,33017653.76,66126183.33,64576554.77,71936106.85,137488031.1,73917273.26
2022,42981806.23,5887814.432,330144703.9,84317132.94,64550293.58,16483490.05,15609018.05,66806159.08,131059681.2,390929577,72596738.65,277145736,1888634861,157263887.8,70573395.91,88069195.69,40843704.6,129626944.3,44858740.52,39409544.3,30899495.68,53901702.98,60720722.99,62637071.91,133102338.1,75659322.93
2023,41233886.52,6079122.699,332562899.7,84606047.78,61894157.02,16122016.79,15610827.54,63290708.56,113629606.7,423409920.4,73692719.83,270933560.2,1898657855,159885471.8,70365024.76,86904885.64,40850312.93,123880092.3,43389015.83,39372116.69,30363826.83,42683567.42,61020889.97,51924471.11,130192264.7,75734940.95
2024,61999020.05,18858488.95,501444621.8,139849671.2,85379429.06,30114561.64,19097597.19,90056764.8,178923569.1,570346347.1,84497217.69,306621640.5,2050899579,228472058.1,92485211.78,111653674.4,47487387.49,150930960.1,55103200.71,89298822.25,53887598.66,111423684.3,98641481.52,75324669.67,155320963.6,87777118.93
2025,56225314.44,20921385.81,419329739.7,124438293.2,84914897.13,34125499.97,20571295.43,84356113.12,177669974.5,552991991.9,82133484.82,292867931.7,2012943931,236015254.8,95231125.9,109611629.8,47104736.22,153845292.3,58745858.02,88050847.57,54102597.31,101585148.2,98679063.51,75162294.67,164632355.3,94650966.62
2026,56590811.21,24567621.62,425865777.7,125177754.6,87477244.08,35305555.27,21646161.83,92187859.34,186136904.5,549878042.7,83749372.89,301800095.2,1975246097,242341281.2,100157408.6,113357109.5,47102533.07,157535404.8,60849710.81,92320508.4,56674787.43,112778172.6,102344186.4,78792031.74,170859160.6,100732972.5
2027,58358830.29,29400849.43,432124048.5,124612203,89321388.58,36055156.46,22786381.89,100912764.8,209658788.6,540562196.5,83039833.97,309576030.1,1962269716,243449938.8,103782334.2,116983950.8,46885037.18,167541298.1,62914263.94,96487903.12,59640457.02,120811518.9,104934522.9,92632863.6,182706112.8,108736553.1
2028,60024623.65,34187124.12,438914649.5,124757100.5,89593161.2,36501337.7,23612003.61,108926249.1,233428468.4,535594648.1,82997199.1,315617173,1954867072,244141126.4,107866905.2,119795480.1,46827449.78,177635908.4,64940370.07,100874328.5,62838795.91,129011430.8,107819149.4,107170395.9,195242987.6,116762393.8
