Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,concrete,0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,copper,0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,lead,0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,manganese,0,,
2020,inflow,kg/MW,World,generation,FREE12,FREE12_tech1,nickel,0,,
#
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,steel,84600.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,aluminium,504.252236,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,concrete,352800.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,copper,1146.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,tantalum,8.757,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,cobalt,115.486,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,manganese,3.795,,
2020,inflow,kg/MW,World,generation,Conv. Coal,ClST_tech1,nickel,835.815,,
#
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,steel,72900.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,aluminium,600.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,concrete,213360.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,copper,762.1129031999999,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,tantalum,4.756,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,cobalt,67.282,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Oil,OlST_tech1,nickel,425.782,,
#
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,steel,4035.483871,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,aluminium,376.451613,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,concrete,43029.35484,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,copper,378.22580650000003,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,tantalum,0.755,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,cobalt,19.078,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,manganese,27.419,,
2020,inflow,kg/MW,World,generation,Conv. Natural Gas,NGOT_tech1,nickel,425.782,,
#
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,steel,72900.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,aluminium,600.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,concrete,213360.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,copper,762.1129031999999,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,tantalum,4.756,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,cobalt,67.282,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Waste,BioST_tech1,nickel,425.782,,
#
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,steel,34900.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,aluminium,504.252236,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,concrete,165000.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,copper,1146.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,tantalum,8.757,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,cobalt,115.486,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,manganese,3.795,,
2020,inflow,kg/MW,World,generation,IGCC,IGCC_tech1,nickel,835.815,,
#
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,steel,72900.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,aluminium,600.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,concrete,213360.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,copper,762.1129031999999,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,tantalum,4.756,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,cobalt,67.282,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,OGCC,OlCC_tech1,manganese,0.0,,
