Time,type_data,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,terbium,35,0.4,0.8
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,tin,0.7,0.4,1
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,titanium,130.5,61,200
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,vanadium,0.00035,0.0001,0.0006
2020,inflow,kg/MW,World,generation,WOFF,DD-PMSG,zinc,75,20,478.7878787878788
2020,inflow,kg/MW,World,generation,SPV,c-Si,aluminium,10528.5060885,9774,11283.012177
2020,inflow,kg/MW,World,generation,SPV,c-Si,cadmium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,chromium,161.21134,152.635477,169.787203
2020,inflow,kg/MW,World,generation,SPV,c-Si,cobalt,0.9294865000000001,0.8844830000000001,0.9744900000000001
2020,inflow,kg/MW,World,generation,SPV,c-Si,concrete,38572.07362,37632.147240000006,39512
2020,inflow,kg/MW,World,generation,SPV,c-Si,copper,5825.663337,5728,5923.326674
2020,inflow,kg/MW,World,generation,SPV,c-Si,gallium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,germanium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,glass,57250.5,44560,69941
2020,inflow,kg/MW,World,generation,SPV,c-Si,graphite,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,indium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,lead,2.5860749999999997,0.148477,5.023673
2020,inflow,kg/MW,World,generation,SPV,c-Si,lithium,0.9527779999999999,0.9080699999999999,0.997486
2020,inflow,kg/MW,World,generation,SPV,c-Si,manganese,1066.4610675,1025.122135,1107.8
2020,inflow,kg/MW,World,generation,SPV,c-Si,molybdenum,2.3986175000000003,2.287667,2.5095680000000002
2020,inflow,kg/MW,World,generation,SPV,c-Si,nickel,1,1,1.3
2020,inflow,kg/MW,World,generation,SPV,c-Si,plastics,6540.5,5231,7850
2020,inflow,kg/MW,World,generation,SPV,c-Si,selenium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,silicon,4000,2941.8032399999997,7000
2020,inflow,kg/MW,World,generation,SPV,c-Si,silver,20,1,80
2020,inflow,kg/MW,World,generation,SPV,c-Si,steel,54140,51701,56579
2020,inflow,kg/MW,World,generation,SPV,c-Si,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,c-Si,tin,350.54,124.08,577
2020,inflow,kg/MW,World,generation,SPV,c-Si,titanium,26.063547,24.910548000000002,27.216546
2020,inflow,kg/MW,World,generation,SPV,c-Si,zinc,1453.8617985,1388.054266,1519.669331
2020,inflow,kg/MW,World,generation,SPV,AsGa,aluminium,10528.5060885,9774,11283.012177
2020,inflow,kg/MW,World,generation,SPV,AsGa,cadmium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,chromium,161.21134,152.635477,169.787203
2020,inflow,kg/MW,World,generation,SPV,AsGa,cobalt,0.9294865000000001,0.8844830000000001,0.9744900000000001
2020,inflow,kg/MW,World,generation,SPV,AsGa,concrete,38572.07362,37632.147240000006,39512
2020,inflow,kg/MW,World,generation,SPV,AsGa,copper,5825.663337,5728,5923.326674
2020,inflow,kg/MW,World,generation,SPV,AsGa,gallium,52,52,52
2020,inflow,kg/MW,World,generation,SPV,AsGa,germanium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,glass,57250.5,44560,69941
2020,inflow,kg/MW,World,generation,SPV,AsGa,graphite,262,262,262
2020,inflow,kg/MW,World,generation,SPV,AsGa,indium,15,15,15
2020,inflow,kg/MW,World,generation,SPV,AsGa,lead,2.5860749999999997,0.148477,5.023673
2020,inflow,kg/MW,World,generation,SPV,AsGa,lithium,0.9527779999999999,0.9080699999999999,0.997486
2020,inflow,kg/MW,World,generation,SPV,AsGa,manganese,1066.4610675,1025.122135,1107.8
2020,inflow,kg/MW,World,generation,SPV,AsGa,molybdenum,2.3986175000000003,2.287667,2.5095680000000002
2020,inflow,kg/MW,World,generation,SPV,AsGa,nickel,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,plastics,6540.5,5231,7850
2020,inflow,kg/MW,World,generation,SPV,AsGa,selenium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,silicon,150,150,150
2020,inflow,kg/MW,World,generation,SPV,AsGa,silver,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,steel,54140,51701,56579
2020,inflow,kg/MW,World,generation,SPV,AsGa,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,tin,0,0,0
2020,inflow,kg/MW,World,generation,SPV,AsGa,titanium,26.063547,24.910548000000002,27.216546
2020,inflow,kg/MW,World,generation,SPV,AsGa,zinc,1453.8617985,1388.054266,1519.669331
2020,inflow,kg/MW,World,generation,SPV,CdTe,aluminium,10528.5060885,9774,11283.012177
2020,inflow,kg/MW,World,generation,SPV,CdTe,cadmium,50,12,244.26
2020,inflow,kg/MW,World,generation,SPV,CdTe,chromium,161.21134,152.635477,169.787203
2020,inflow,kg/MW,World,generation,SPV,CdTe,cobalt,0.9294865000000001,0.8844830000000001,0.9744900000000001
2020,inflow,kg/MW,World,generation,SPV,CdTe,concrete,38572.07362,37632.147240000006,39512
2020,inflow,kg/MW,World,generation,SPV,CdTe,copper,5825.663337,5728,5923.326674
2020,inflow,kg/MW,World,generation,SPV,CdTe,gallium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CdTe,germanium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CdTe,glass,57250.5,44560,69941
2020,inflow,kg/MW,World,generation,SPV,CdTe,graphite,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CdTe,indium,9.53888888888889,0,15.9
2020,inflow,kg/MW,World,generation,SPV,CdTe,lead,2.5860749999999997,0.148477,5.023673
2020,inflow,kg/MW,World,generation,SPV,CdTe,lithium,0.9527779999999999,0.9080699999999999,0.997486
2020,inflow,kg/MW,World,generation,SPV,CdTe,manganese,1066.4610675,1025.122135,1107.8
2020,inflow,kg/MW,World,generation,SPV,CdTe,molybdenum,2.3986175000000003,2.287667,2.5095680000000002
2020,inflow,kg/MW,World,generation,SPV,CdTe,nickel,15.795,15.59,16
2020,inflow,kg/MW,World,generation,SPV,CdTe,plastics,6540.5,5231,7850
2020,inflow,kg/MW,World,generation,SPV,CdTe,selenium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CdTe,silicon,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CdTe,silver,80,80,80
2020,inflow,kg/MW,World,generation,SPV,CdTe,steel,54140,51701,56579
2020,inflow,kg/MW,World,generation,SPV,CdTe,tellurium,52,11,242.87
2020,inflow,kg/MW,World,generation,SPV,CdTe,tin,52.629999999999995,21.4,83.86
2020,inflow,kg/MW,World,generation,SPV,CdTe,titanium,26.063547,24.910548000000002,27.216546
2020,inflow,kg/MW,World,generation,SPV,CdTe,zinc,1453.8617985,1388.054266,1519.669331
2020,inflow,kg/MW,World,generation,SPV,CIGS,aluminium,10528.5060885,9774,11283.012177
2020,inflow,kg/MW,World,generation,SPV,CIGS,cadmium,1.3,1.3,1.3
2020,inflow,kg/MW,World,generation,SPV,CIGS,chromium,161.21134,152.635477,169.787203
2020,inflow,kg/MW,World,generation,SPV,CIGS,cobalt,0.9294865000000001,0.8844830000000001,0.9744900000000001
2020,inflow,kg/MW,World,generation,SPV,CIGS,concrete,38572.07362,37632.147240000006,39512
2020,inflow,kg/MW,World,generation,SPV,CIGS,copper,5825.663337,5728,5923.326674
2020,inflow,kg/MW,World,generation,SPV,CIGS,gallium,5,1,124
2020,inflow,kg/MW,World,generation,SPV,CIGS,germanium,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CIGS,glass,57250.5,44560,69941
2020,inflow,kg/MW,World,generation,SPV,CIGS,graphite,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CIGS,indium,15,3,83.79
2020,inflow,kg/MW,World,generation,SPV,CIGS,lead,2.5860749999999997,0.148477,5.023673
2020,inflow,kg/MW,World,generation,SPV,CIGS,lithium,0.9527779999999999,0.9080699999999999,0.997486
2020,inflow,kg/MW,World,generation,SPV,CIGS,manganese,1066.4610675,1025.122135,1107.8
2020,inflow,kg/MW,World,generation,SPV,CIGS,molybdenum,2.3986175000000003,2.287667,2.5095680000000002
2020,inflow,kg/MW,World,generation,SPV,CIGS,nickel,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CIGS,plastics,6540.5,5231,7850
2020,inflow,kg/MW,World,generation,SPV,CIGS,selenium,35,6,110
2020,inflow,kg/MW,World,generation,SPV,CIGS,silicon,0,0,0
2020,inflow,kg/MW,World,generation,SPV,CIGS,silver,80,80,80
