Time,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,kg/count,World,vehicles,MFT,FCV,copper,47.841,43.52532364292383,56.47235271415234
2020,kg/count,World,vehicles,MFT,FCV,plastics,3125.612,3125.612,3125.612
2020,kg/count,World,vehicles,MFT,FCV,glass,111.629,111.629,111.629
2020,kg/count,World,vehicles,MFT,FCV,rubber,410.144,410.144,410.144
2020,kg/count,World,vehicles,MFT,FCV,lead,0,0,0
2020,kg/count,World,vehicles,HFT,ICE,steel,11784.833,11644.865651876176,12064.767696247654
2020,kg/count,World,vehicles,HFT,ICE,aluminium,574.092,537.5902604171063,592.3428697914468
2020,kg/count,World,vehicles,HFT,ICE,copper,79.735,72.54220607153972,94.12058785692057
2020,kg/count,World,vehicles,HFT,ICE,plastics,893.032,893.032,893.032
2020,kg/count,World,vehicles,HFT,ICE,glass,47.841,47.841,47.841
2020,kg/count,World,vehicles,HFT,ICE,rubber,424.79200000000003,424.79200000000003,424.79200000000003
2020,kg/count,World,vehicles,HFT,ICE,lead,0,0,0
2020,kg/count,World,vehicles,HFT,HEV,steel,11784.833,11644.865651876176,12064.767696247654
2020,kg/count,World,vehicles,HFT,HEV,aluminium,574.092,537.5902604171063,592.3428697914468
2020,kg/count,World,vehicles,HFT,HEV,copper,79.735,72.54220607153972,94.12058785692057
2020,kg/count,World,vehicles,HFT,HEV,plastics,893.032,893.032,893.032
2020,kg/count,World,vehicles,HFT,HEV,glass,21.972,21.972,21.972
2020,kg/count,World,vehicles,HFT,HEV,rubber,424.79200000000003,424.79200000000003,424.79200000000003
2020,kg/count,World,vehicles,HFT,HEV,lead,0,0,0
2020,kg/count,World,vehicles,HFT,PHEV,steel,11784.833,11644.865651876176,12064.767696247654
2020,kg/count,World,vehicles,HFT,PHEV,aluminium,574.092,537.5902604171063,592.3428697914468
2020,kg/count,World,vehicles,HFT,PHEV,copper,79.735,72.54220607153972,94.12058785692057
2020,kg/count,World,vehicles,HFT,PHEV,plastics,410.144,410.144,410.144
2020,kg/count,World,vehicles,HFT,PHEV,glass,21.972,21.972,21.972
2020,kg/count,World,vehicles,HFT,PHEV,rubber,424.79200000000003,424.79200000000003,424.79200000000003
2020,kg/count,World,vehicles,HFT,PHEV,lead,0,0,0
2020,kg/count,World,vehicles,HFT,BEV,steel,11784.833,11644.865651876176,12064.767696247654
2020,kg/count,World,vehicles,HFT,BEV,aluminium,574.092,537.5902604171063,592.3428697914468
2020,kg/count,World,vehicles,HFT,BEV,copper,36.62,33.316555920734736,43.22688815853052
2020,kg/count,World,vehicles,HFT,BEV,plastics,410.144,410.144,410.144
2020,kg/count,World,vehicles,HFT,BEV,glass,21.972,21.972,21.972
2020,kg/count,World,vehicles,HFT,BEV,rubber,861.59,861.59,861.59
2020,kg/count,World,vehicles,HFT,BEV,lead,0,0,0
2020,kg/count,World,vehicles,HFT,FCV,steel,11784.833,11644.865651876176,12064.767696247654
2020,kg/count,World,vehicles,HFT,FCV,aluminium,263.664,246.8997972844351,272.0461013577824
2020,kg/count,World,vehicles,HFT,FCV,copper,36.62,33.316555920734736,43.22688815853052
2020,kg/count,World,vehicles,HFT,FCV,plastics,410.144,410.144,410.144
2020,kg/count,World,vehicles,HFT,FCV,glass,21.972,21.972,21.972
2020,kg/count,World,vehicles,HFT,FCV,rubber,861.59,861.59,861.59
2020,kg/count,World,vehicles,HFT,FCV,lead,0,0,0
2020,kg/count,World,vehicles,midi_bus,ICE,steel,2334.1587999999997,2306.4362164609806,2389.6039670780387
2020,kg/count,World,vehicles,midi_bus,ICE,aluminium,2674.7248,2504.661276896547,2759.756561551726
2020,kg/count,World,vehicles,midi_bus,ICE,copper,18.31,16.658277960367368,21.61344407926526
2020,kg/count,World,vehicles,midi_bus,ICE,plastics,1092.0084000000002,1092.0084000000002,1092.0084000000002
2020,kg/count,World,vehicles,midi_bus,ICE,glass,333.9744,333.9744,333.9744
2020,kg/count,World,vehicles,midi_bus,ICE,rubber,389.201,389.201,389.201
2020,kg/count,World,vehicles,midi_bus,ICE,lead,0,0,0
2020,kg/count,World,vehicles,midi_bus,HEV,steel,2334.1587999999997,2306.4362164609806,2389.6039670780387
2020,kg/count,World,vehicles,midi_bus,HEV,aluminium,2674.7248,2504.661276896547,2759.756561551726
2020,kg/count,World,vehicles,midi_bus,HEV,copper,18.31,16.658277960367368,21.61344407926526
2020,kg/count,World,vehicles,midi_bus,HEV,plastics,1092.0084000000002,1092.0084000000002,1092.0084000000002
2020,kg/count,World,vehicles,midi_bus,HEV,glass,677.388,677.388,677.388
2020,kg/count,World,vehicles,midi_bus,HEV,rubber,389.201,389.201,389.201
2020,kg/count,World,vehicles,midi_bus,HEV,lead,0,0,0
2020,kg/count,World,vehicles,midi_bus,PHEV,steel,2334.1587999999997,2306.4362164609806,2389.6039670780387
2020,kg/count,World,vehicles,midi_bus,PHEV,aluminium,2674.7248,2504.661276896547,2759.756561551726
2020,kg/count,World,vehicles,midi_bus,PHEV,copper,18.31,16.658277960367368,21.61344407926526
2020,kg/count,World,vehicles,midi_bus,PHEV,plastics,2214.8805,2214.8805,2214.8805
2020,kg/count,World,vehicles,midi_bus,PHEV,glass,677.388,677.388,677.388
2020,kg/count,World,vehicles,midi_bus,PHEV,rubber,389.201,389.201,389.201
2020,kg/count,World,vehicles,midi_bus,PHEV,lead,0,0,0
2020,kg/count,World,vehicles,midi_bus,BEV,steel,2334.1587999999997,2306.4362164609806,2389.6039670780387
2020,kg/count,World,vehicles,midi_bus,BEV,aluminium,2674.7248,2504.661276896547,2759.756561551726
2020,kg/count,World,vehicles,midi_bus,BEV,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,midi_bus,BEV,plastics,2214.8805,2214.8805,2214.8805
2020,kg/count,World,vehicles,midi_bus,BEV,glass,677.388,677.388,677.388
2020,kg/count,World,vehicles,midi_bus,BEV,rubber,389.201,389.201,389.201
2020,kg/count,World,vehicles,midi_bus,BEV,lead,0,0,0
2020,kg/count,World,vehicles,midi_bus,FCV,steel,2334.1587999999997,2306.4362164609806,2389.6039670780387
2020,kg/count,World,vehicles,midi_bus,FCV,aluminium,5425.046,5080.112406922202,5597.512796538898
2020,kg/count,World,vehicles,midi_bus,FCV,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,midi_bus,FCV,plastics,2214.8805,2214.8805,2214.8805
2020,kg/count,World,vehicles,midi_bus,FCV,glass,677.388,677.388,677.388
2020,kg/count,World,vehicles,midi_bus,FCV,rubber,0.45064,0.45064,0.45064
2020,kg/count,World,vehicles,midi_bus,FCV,lead,0,0,0
2020,kg/count,World,vehicles,reg_bus,ICE,steel,8220.757,8123.119845798462,8416.031308403077
2020,kg/count,World,vehicles,reg_bus,ICE,aluminium,2819.479,2640.2117602240796,2909.1126198879597
2020,kg/count,World,vehicles,reg_bus,ICE,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,reg_bus,ICE,plastics,1301.298,1301.298,1301.298
2020,kg/count,World,vehicles,reg_bus,ICE,glass,332.752,332.752,332.752
2020,kg/count,World,vehicles,reg_bus,ICE,rubber,430.795,430.795,430.795
2020,kg/count,World,vehicles,reg_bus,ICE,lead,0,0,0
2020,kg/count,World,vehicles,reg_bus,HEV,steel,8220.757,8123.119845798462,8416.031308403077
2020,kg/count,World,vehicles,reg_bus,HEV,aluminium,2819.479,2640.2117602240796,2909.1126198879597
2020,kg/count,World,vehicles,reg_bus,HEV,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,reg_bus,HEV,plastics,1301.298,1301.298,1301.298
2020,kg/count,World,vehicles,reg_bus,HEV,glass,332.752,332.752,332.752
2020,kg/count,World,vehicles,reg_bus,HEV,rubber,430.795,430.795,430.795
2020,kg/count,World,vehicles,reg_bus,HEV,lead,0,0,0
2020,kg/count,World,vehicles,reg_bus,PHEV,steel,8220.757,8123.119845798462,8416.031308403077
2020,kg/count,World,vehicles,reg_bus,PHEV,aluminium,2819.479,2640.2117602240796,2909.1126198879597
2020,kg/count,World,vehicles,reg_bus,PHEV,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,reg_bus,PHEV,plastics,1301.298,1301.298,1301.298
2020,kg/count,World,vehicles,reg_bus,PHEV,glass,332.752,332.752,332.752
2020,kg/count,World,vehicles,reg_bus,PHEV,rubber,430.795,430.795,430.795
2020,kg/count,World,vehicles,reg_bus,PHEV,lead,0,0,0
2020,kg/count,World,vehicles,reg_bus,BEV,steel,8220.757,8123.119845798462,8416.031308403077
2020,kg/count,World,vehicles,reg_bus,BEV,aluminium,2819.479,2640.2117602240796,2909.1126198879597
2020,kg/count,World,vehicles,reg_bus,BEV,copper,37.1375,33.78737289749554,43.83775420500894
2020,kg/count,World,vehicles,reg_bus,BEV,plastics,1301.298,1301.298,1301.298
2020,kg/count,World,vehicles,reg_bus,BEV,glass,332.752,332.752,332.752
