type,years,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
aboveground,2011,87512.79887175499,448175.3677321982,46515.20190982906,9917.474731284783,111869.16706780839,84325.12150582006,61021.66498488743,25519.48137925559,20541.7548552202,34710.82646408832,272365.1560828508,97913.36610639606,29394.642980678604,57120.058857076525,38106.158091573845,157287.59444135014,113750.55629431947,192435.03137451987,9333.587945301311,363264.87152596307,45091.90591439183,18534.072657588942,29919.96662779556,58434.94870139354,26793.19012218221,25544.44358728728
aboveground,2012,87436.10380844658,454343.5596345426,47898.16465441378,10304.555005868471,116414.99462601909,87782.9440780294,64868.36708854418,26901.379310060907,21359.613366735357,34635.48613826219,282960.62551293796,99600.23861542142,31793.368603123192,58060.31458073327,39585.38123155401,163810.96694202969,121049.51978825331,211068.7751617146,10264.297082505791,393446.32440762664,47517.71397035696,20037.02596759063,30282.678183518663,59846.763627585875,28184.469245768847,26266.890381617977
aboveground,2013,88550.55353516332,450292.69725131063,49179.924489620535,10621.912801394861,119889.30997733127,90923.09865102648,69391.49770056884,28716.107131333054,22626.153983452477,35282.408287067134,287560.8727669411,102054.8630387149,33956.79157099058,59058.6297085287,40879.19333523612,169492.04665350303,127780.3465715089,231566.1931784213,10821.360155044182,425744.8647567745,50977.64401058194,21637.681097496825,31212.588299096427,61099.54132188405,29580.308054105237,27622.228017200956
aboveground,2014,90572.26815488476,448704.6715996094,50755.7695179842,10903.747264042911,126797.35018959708,95477.30886522845,73716.19197391365,30877.092886374998,24019.044205525217,36730.8100566035,291189.85025296675,103940.67340349873,36918.49258892383,59649.17523590308,42522.47159624407,174578.80915063416,136033.1183031856,259835.29620075077,11190.214997806159,461502.9117303174,55014.97341188482,23017.97085035016,32520.819814196184,62323.36538256707,30943.217945611457,29255.211816629504
aboveground,2015,91714.0671924865,451920.23132417584,52994.563259346476,11539.015450412287,133301.13163098108,100052.77331490796,79440.74490477947,33092.35659415765,26304.820585447636,37785.72016095126,294881.3117029178,105109.22920634416,39534.52141795822,60069.91420601337,42988.830564650816,179143.04535291882,141983.00786620713,284055.40254176,11591.942644749972,503691.32765429013,58496.34694186768,24177.38531252978,33824.6798182076,63120.66730697043,32993.936282339746,31602.172309781137
aboveground,2016,92469.09072358931,460765.1342566474,55872.0,11936.0,140031.0,104058.0,85615.0,35299.0,27767.0,39917.0,299456.4746939488,105997.9234566398,43391.0,60518.0,43326.0,185967.0,149839.0,312067.0,11790.915347565899,546584.0,63134.0,25250.0,34820.2594780896,63851.698546734646,36845.0,34701.0
aboveground,2017,94903.53395872726,467862.5553580838,58882.495452664865,12360.02948876433,148477.59500567772,108005.2711869655,94085.16349604414,38241.48580581268,29619.01530274114,42787.49134372981,305235.89747656335,105494.95866465986,47476.837909996255,60962.21950926508,43909.51962333659,190468.51028561834,156969.59344367447,346339.4642654788,12066.82408858245,594445.7878603004,67958.90595459484,27286.073820738337,35769.16470608543,64970.38986112376,40751.7777251179,37748.85203099139
aboveground,2018,96596.59419172311,477054.7218979101,62368.16667537342,12832.436003463887,156710.14176787122,111105.77696027419,102811.94848716751,40653.54932930449,32196.74218991003,45276.63496780859,311474.95878557645,104795.12763817511,50551.37952690587,62242.055252787926,44329.0048991919,194394.0009508818,162795.81298700807,377123.46494241623,12381.137348571872,637143.0879267842,72551.37370463778,29920.1213106728,36781.08620591652,66706.32130357128,44873.34606467332,40367.75000103756
aboveground,2019,97192.80056487654,487889.5237047369,66637.2321488043,13282.47960249858,163855.69483261905,113499.84186828793,110052.26835007714,42460.57265887581,33799.90448250339,46493.9519030529,321353.4804325465,104724.6960485956,52847.78478659978,67439.73440079407,44620.7766434749,196650.20729966508,167594.7824091096,397794.8214083752,12881.990322787044,678105.5607059463,78960.69531805576,32439.10257334854,37905.53630840491,71091.62619053989,48466.96057227648,43222.767182594405
aboveground,2020,99123.91257703006,508600.7345510795,68869.479426657,13554.205239020212,173763.5773949485,115818.87914843025,115074.83263755954,44335.29268754747,35297.46341526061,48807.14003242939,341398.79514923174,107740.44937361752,55237.1651217927,69109.89102092684,44416.82596318894,199912.8393695645,171702.8068273115,411517.004894749,13300.966853490618,741109.2416253503,87396.71338019938,34935.85671635941,39094.41874626743,77099.50840963183,52128.640977522795,45732.60257378734
