! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_trvl_pkm.out;;;;;;;;;
real main.em.dem.trp.trvl.ProjT.pkm_global_tot[28,8](t) = [;;;;;;;;;
unit=tera pkm;;conversion factor =1000;;;;;;;
;;walking;cycling;bus;train;car;highspeed train;plane;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1974;5;0.01420645;0.006088476;0.1308855;0.0225975;0.2423082;0;0.01389109;0.4299772
1974;6;0.01249241;0.005353892;0.1530702;0.02226107;0.1685284;0;0.01639375;0.3780997
1974;7;0.003346172;0.001434074;0.03718005;0.006638524;0.03177239;0;0.01209005;0.09246125
1974;8;0.01133483;0.004857783;0.06032611;0.002356638;0.01216613;0;0.00854408;0.09958556
1974;9;0.007673107;0.003288475;0.0398437;0.002880546;0.007356433;0;0.006372157;0.06741442
1974;10;0.03600999;0.01543286;0.0949459;0.1197338;0.04518113;0;0.00507302;0.3163767
1974;11;0.1232445;0.0528191;0.5571368;0.7152063;2.579924;0;0.1938192;4.222149
1974;12;0.03132751;0.01342608;0.121472;0.5659912;0.3193398;0;0.021671;1.073228
1974;13;0.006766568;0.002899959;0.02402984;0.07397597;0.07737837;0;0.001922786;0.1869735
1974;14;0.01908498;0.008179277;0.05836562;0.4243714;0.07654214;0;0.06727544;0.6538189
1974;15;0.01230127;0.005271973;0.09206232;0.2078785;0.03554385;0;0.03147695;0.3845349
1974;16;0.07058115;0.03024907;0.5215078;1.179462;0.2114433;0;0.1931078;2.206351
1974;17;0.008421469;0.0036092;0.07606505;0.000374095;0.07696074;0;0.06727099;0.2327016
1974;18;0.0537065;0.02301708;0.1043916;0.5901509;0.05980512;0;0.01111934;0.8421906
1974;19;0.001636906;0.000701531;0.02415229;0.002827679;0.02277714;0;0.003982093;0.05607764
1974;20;0.0373187;0.01599373;0.234052;0.8956043;0.08485749;0;0.01064948;1.278476
1974;21;0.009484206;0.00406466;0.0935178;0;0.0720341;0;0.02902315;0.2081239
1974;22;0.00330938;0.001418306;0.0360297;0.001963426;0.02732129;0;0.002579793;0.0726219
1974;23;0.03278849;0.0140522;0.3480197;0.17963;0.5225284;0;0.0262592;1.123278
1974;24;0.002437435;0.001044616;0.03720589;0.01999656;0.2568309;0;0.01729713;0.3348125
1974;25;0.004127481;0.001768921;0.02663566;0.009498347;0.01569697;0;0.006997131;0.06472451
1974;26;0.007218968;0.003093843;0.02927675;0.01363593;0.006652666;0;0.003546264;0.06342442
1974;27;0;0;0;0;0;0;0;0
1974;28;0.5592731;0.2396885;3.711874;5.504144;9.111032;0;1.292019;20.41803
1975;1;0.004558965;0.001953843;0.05977434;0.05251994;0.4734461;0;0.03397838;0.6262316
1975;2;0.03702655;0.01586851;0.6693034;0.3504813;3.505398;0;0.5079864;5.086064
1975;3;0.005440953;0.002331838;0.06631065;0.004122961;0.07747933;0;0.008992112;0.1646778
1975;4;0.003259118;0.001396765;0.03744981;0.000673222;0.04419139;0;0.01167126;0.09864157
1975;5;0.01489847;0.006385056;0.1392152;0.02277011;0.252904;0;0.01474911;0.450922
1975;6;0.0127562;0.005466945;0.1576446;0.01981776;0.173877;0;0.01652114;0.3860836
1975;7;0.003538134;0.001516343;0.03925556;0.006773565;0.03405282;0;0.01262908;0.0977655
1975;8;0.01306065;0.005597423;0.07028583;0.001781883;0.01417471;0;0.009847825;0.1147483
1975;9;0.007235039;0.003100731;0.03728426;0.001922723;0.006914989;0;0.007107871;0.06356561
1975;10;0.03943664;0.01690142;0.1057317;0.1300948;0.04829392;0;0.006024171;0.3464826
1975;11;0.1234771;0.05291872;0.5861191;0.6533993;2.618474;0;0.1957274;4.230115
1975;12;0.03091069;0.01324744;0.1300903;0.5305797;0.3344094;0;0.01971024;1.058948
1975;13;0.007402294;0.003172414;0.02919299;0.06847764;0.09458535;0;0.001709144;0.2045398
1975;14;0.01991077;0.008533192;0.06347594;0.4492796;0.08324517;0;0.05766467;0.6821094
1975;15;0.0129977;0.005570441;0.1008038;0.2208197;0.03913314;0;0.02698024;0.4063051
1975;16;0.07426307;0.03182703;0.5692142;1.248247;0.2323738;0;0.165521;2.321446
1975;17;0.009797153;0.00419878;0.09080072;0.000378924;0.09242183;0;0.07311696;0.2707144
1975;18;0.05471206;0.02344803;0.108353;0.5969731;0.06254244;0;0.01193068;0.8579593
1975;19;0.001713914;0.000734535;0.02543261;0.003526693;0.02355295;0;0.003755086;0.05871579
1975;20;0.04281059;0.01834739;0.2525798;1.047896;0.0928411;0;0.0121434;1.466618
1975;21;0.009889905;0.004238529;0.09644461;0;0.07539532;0;0.03105825;0.2170266
