time,sector,unit,technology,material,min,max
2020,vehicles,fraction,MFT - PHEV,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,nickel,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,plastics,0.1764,0.2156
2020,vehicles,fraction,MFT - PHEV,rubber,0.0504,0.0616
2020,vehicles,fraction,MFT - PHEV,steel,0.5778,0.7062
2020,vehicles,fraction,MFT - PHEV,titanium,0.0,0.0
2020,vehicles,fraction,MFT - PHEV,wood,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,aluminium,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,cobalt,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,copper,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,glass,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,lead,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,lithium,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,manganese,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,neodymium,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,nickel,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,plastics,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,rubber,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,steel,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,titanium,0.0,0.0
2020,vehicles,fraction,MFT - Trolley,wood,0.0,0.0
2020,vehicles,fraction,car - BEV,aluminium,0.1249541478,0.1527217362
2020,vehicles,fraction,car - BEV,cobalt,1.62e-05,1.98e-05
2020,vehicles,fraction,car - BEV,copper,0.0669968037,0.0818849823
2020,vehicles,fraction,car - BEV,glass,0.0216567099,0.0264693121
2020,vehicles,fraction,car - BEV,lead,0.001310067,0.001601193
2020,vehicles,fraction,car - BEV,lithium,0.0,0.0
2020,vehicles,fraction,car - BEV,manganese,0.0,0.0
2020,vehicles,fraction,car - BEV,neodymium,0.0008166951,0.0009981829
2020,vehicles,fraction,car - BEV,nickel,0.0,0.0
2020,vehicles,fraction,car - BEV,plastics,0.091445265,0.111766435
2020,vehicles,fraction,car - BEV,rubber,0.0211994973,0.0259104967
2020,vehicles,fraction,car - BEV,steel,0.4299834933,0.5255353807
2020,vehicles,fraction,car - BEV,titanium,0.0,0.0
2020,vehicles,fraction,car - BEV,wood,0.0067062303,0.0081965037
2020,vehicles,fraction,car - FCV,aluminium,0.2244591342,0.2743389418
2020,vehicles,fraction,car - FCV,cobalt,2.394e-05,2.926e-05
2020,vehicles,fraction,car - FCV,copper,0.0121694715,0.0148737985
2020,vehicles,fraction,car - FCV,glass,0.0270432693,0.0330528847
2020,vehicles,fraction,car - FCV,lead,0.0019316619,0.0023609201
2020,vehicles,fraction,car - FCV,lithium,0.0,0.0
2020,vehicles,fraction,car - FCV,manganese,0.0,0.0
2020,vehicles,fraction,car - FCV,neodymium,0.0022561812,0.0027575548
2020,vehicles,fraction,car - FCV,nickel,0.0,0.0
2020,vehicles,fraction,car - FCV,plastics,0.0761074866,0.0930202614
2020,vehicles,fraction,car - FCV,rubber,0.0386332416,0.0472184064
2020,vehicles,fraction,car - FCV,steel,0.4052627064,0.4953210856
2020,vehicles,fraction,car - FCV,titanium,0.0,0.0
2020,vehicles,fraction,car - FCV,wood,0.0,0.0
2020,vehicles,fraction,car - HEV,aluminium,0.08695629,0.10627991
2020,vehicles,fraction,car - HEV,cobalt,2.124e-05,2.596e-05
2020,vehicles,fraction,car - HEV,copper,0.0165750705,0.0202584195
2020,vehicles,fraction,car - HEV,glass,0.023920641,0.029236339
2020,vehicles,fraction,car - HEV,lead,0.0071905734,0.0087884786
2020,vehicles,fraction,car - HEV,lithium,0.0,0.0
2020,vehicles,fraction,car - HEV,manganese,0.0,0.0
2020,vehicles,fraction,car - HEV,neodymium,0.0001378989,0.0001685431
2020,vehicles,fraction,car - HEV,nickel,0.0,0.0
2020,vehicles,fraction,car - HEV,plastics,0.1120627764,0.1369656156
2020,vehicles,fraction,car - HEV,rubber,0.0280980216,0.0343420264
2020,vehicles,fraction,car - HEV,steel,0.5691338928,0.6956080912
2020,vehicles,fraction,car - HEV,titanium,0.0,0.0
2020,vehicles,fraction,car - HEV,wood,0.0,0.0
2020,vehicles,fraction,car - ICE,aluminium,0.08695629,0.10627991
2020,vehicles,fraction,car - ICE,cobalt,2.124e-05,2.596e-05
2020,vehicles,fraction,car - ICE,copper,0.0165750705,0.0202584195
2020,vehicles,fraction,car - ICE,glass,0.023920641,0.029236339
2020,vehicles,fraction,car - ICE,lead,0.0071905734,0.0087884786
2020,vehicles,fraction,car - ICE,lithium,0.0,0.0
2020,vehicles,fraction,car - ICE,manganese,0.0,0.0
2020,vehicles,fraction,car - ICE,neodymium,0.0001378989,0.0001685431
2020,vehicles,fraction,car - ICE,nickel,0.0,0.0
2020,vehicles,fraction,car - ICE,plastics,0.1120627764,0.1369656156
2020,vehicles,fraction,car - ICE,rubber,0.0280980216,0.0343420264
2020,vehicles,fraction,car - ICE,steel,0.5691338928,0.6956080912
2020,vehicles,fraction,car - ICE,titanium,0.0,0.0
2020,vehicles,fraction,car - ICE,wood,0.0,0.0
2020,vehicles,fraction,car - PHEV,aluminium,0.1249541478,0.1527217362
2020,vehicles,fraction,car - PHEV,cobalt,1.62e-05,1.98e-05
2020,vehicles,fraction,car - PHEV,copper,0.0669968037,0.0818849823
2020,vehicles,fraction,car - PHEV,glass,0.0216567099,0.0264693121
2020,vehicles,fraction,car - PHEV,lead,0.001310067,0.001601193
2020,vehicles,fraction,car - PHEV,lithium,0.0,0.0
2020,vehicles,fraction,car - PHEV,manganese,0.0,0.0
2020,vehicles,fraction,car - PHEV,neodymium,0.0008166951,0.0009981829
2020,vehicles,fraction,car - PHEV,nickel,0.0,0.0
2020,vehicles,fraction,car - PHEV,plastics,0.091445265,0.111766435
2020,vehicles,fraction,car - PHEV,rubber,0.0211994973,0.0259104967
2020,vehicles,fraction,car - PHEV,steel,0.4299834933,0.5255353807
2020,vehicles,fraction,car - PHEV,titanium,0.0,0.0
2020,vehicles,fraction,car - PHEV,wood,0.0067062303,0.0081965037
2020,vehicles,fraction,car - Trolley,aluminium,0.0,0.0
2020,vehicles,fraction,car - Trolley,cobalt,0.0,0.0
2020,vehicles,fraction,car - Trolley,copper,0.0,0.0
2020,vehicles,fraction,car - Trolley,glass,0.0,0.0
2020,vehicles,fraction,car - Trolley,lead,0.0,0.0
2020,vehicles,fraction,car - Trolley,lithium,0.0,0.0
2020,vehicles,fraction,car - Trolley,manganese,0.0,0.0
2020,vehicles,fraction,car - Trolley,neodymium,0.0,0.0
2020,vehicles,fraction,car - Trolley,nickel,0.0,0.0
2020,vehicles,fraction,car - Trolley,plastics,0.0,0.0
2020,vehicles,fraction,car - Trolley,rubber,0.0,0.0
2020,vehicles,fraction,car - Trolley,steel,0.0,0.0
2020,vehicles,fraction,car - Trolley,titanium,0.0,0.0
2020,vehicles,fraction,car - Trolley,wood,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,aluminium,0.32868,0.40172
2020,vehicles,fraction,midi_bus - BEV,cobalt,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,copper,0.00225,0.00275
2020,vehicles,fraction,midi_bus - BEV,glass,0.04104,0.05016
2020,vehicles,fraction,midi_bus - BEV,lead,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,lithium,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,manganese,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,neodymium,0.0,0.0
2020,vehicles,fraction,midi_bus - BEV,nickel,0.0,0.0
