Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1995,83100.02301,1113689.853,16786.69417,43258.76409,461154.7783,149026.5786,52527.08881,52668.60556,41848.47047,41289.05631,992037.7466,157134.9359,46818.96956,781.9641212,6434.575875,1479.788656,96685.40864,266709.7745,133451.4222,363980.4614,177609.9123,112424.7438,440518.6225,96873.65341,80134.55265,27613.75065
1996,70455.41955,1131097.467,14681.24654,36138.41759,214708.5679,138556.7615,67400.51644,70832.19654,42373.23256,36951.40051,1083743.461,195514.8442,70470.66791,889.0608544,12373.0752,2082.277433,150834.5071,255509.2826,140927.8941,478418.3746,171101.2613,119358.9758,437637.5683,91943.1286,98873.92796,20164.44579
1997,169914.9728,1306723.306,129096.6841,51378.74998,174097.0999,234787.097,68068.24076,80534.60754,44888.85728,34556.94023,1269582.447,111111.7424,80123.89731,953.4748473,13005.02386,1239.030618,250404.008,230767.8542,94612.92588,339942.9878,125722.3459,111043.4519,314638.3934,99331.58699,66551.8689,31407.94275
1998,127265.2923,1460625.392,147257.4673,48148.08779,111546.3209,200157.1071,117055.0694,95967.35993,44599.11,20841.8875,1366671.686,142645.9561,23352.97541,3291.798306,9177.77816,6112.100438,527255.0745,258190.5233,4211.490859,389098.8181,25231.42596,20957.91564,169636.9163,97172.13776,73576.41545,28247.05639
1999,108988.5362,1462680.345,111017.8156,57152.44921,65300.07185,31845.79363,68224.45801,72095.09775,45002.75186,36383.47214,1374003.73,114665.8238,60290.33343,3486.087494,5609.912799,6758.173053,84506.82776,335618.343,99077.92573,435568.7655,128571.2489,39037.93701,281623.1248,119560.9413,84326.94097,24052.89551
2000,92239.38028,1289470.712,170132.9062,44097.3922,115411.48,48935.74679,38396.82897,68439.12673,48592.95662,35587.17673,1393981.286,143207.5141,100195.1714,2085.997185,20810.35221,116894.934,98038.73307,242460.2081,183040.6187,728138.1919,139020.1052,62766.34749,432934.8102,101156.4489,99801.80319,26131.1661
2001,124740.2408,1250396.833,87820.97369,44428.50912,108613.0911,99603.53639,79841.59385,111988.8876,43361.24845,29136.07996,1223479.858,150286.5834,12786.7431,20636.32443,26991.5034,190509.8305,152948.3723,263745.2558,158992.3827,473150.7447,154054.9616,82640.91361,423888.0637,65754.19765,91429.37822,27605.83194
2002,207197.5198,1152465.803,89299.55176,46577.58495,153537.2,49776.83132,57913.8458,107851.7893,46647.7032,36405.45998,1044512.131,179712.3519,58663.51446,23396.25071,32561.63339,195549.65,173888.216,267641.7043,200702.0624,562251.7783,167225.9965,108486.5957,301498.6478,132458.7251,100290.6509,37608.12152
2003,165160.3989,1312637.509,165840.8182,38540.47348,66682.51108,35997.41026,69648.31646,106226.551,52181.56724,56103.81051,1107183.199,192469.7997,76291.76815,36317.57063,32247.30892,215708.1582,269228.2249,304027.4528,106925.9827,591869.9297,176293.4417,136195.9108,372875.066,97391.29478,107586.3223,30671.65998
2004,157843.0266,1233495.13,126463.2309,56440.38323,235217.3843,126938.006,77723.07147,123621.0243,56752.25243,63664.33504,1353884.986,210824.7445,122051.9715,49806.09641,44328.17304,169462.5336,419026.8585,333105.5443,95403.23099,688741.5232,217805.3579,107159.945,462941.6072,154409.8428,106809.8342,32762.77368
2005,157623.117,1347945.769,152834.1213,64939.35997,251140.73,205150.5197,76927.32535,106061.1165,61199.3889,67335.43238,1204666.848,256145.9273,132250.453,33934.91147,32050.74407,160114.9219,193049.8967,357879.3145,162813.3549,769415.3638,194451.6827,102664.484,426589.1281,84081.14878,109654.2595,30618.43574
2006,162359.149,1183518.35,138681.9575,77727.20128,281480.3292,270187.8199,84407.84882,125437.257,68910.93359,81630.00469,1546309.475,288308.1815,157580.0314,63607.22672,45299.35928,332885.7978,342319.5362,345818.0458,187442.3002,912515.6105,154284.7679,81864.1504,380619.4419,93359.76705,118775.0642,37968.36884
2007,263681.8712,1262075.764,163267.0106,84533.79657,390819.5937,378935.7628,167247.6266,148211.0305,49784.73825,68472.3229,1505693.689,310458.3397,158959.8634,91619.90076,66264.66844,341365.8015,474869.5016,475156.7192,205755.023,1144675.4,266332.1193,130793.5122,340120.8049,132380.2136,135020.7112,42051.82981
