,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2001,0.0,0.0,13515.529587541096,0.0,2347.815528029553,0.0
LCV,2002,0.0,0.0,12829.78291384609,0.0,2190.125709936076,0.0
LCV,2003,0.0,0.0,12554.107192433963,0.0,2140.117348289958,0.0
LCV,2004,0.0,0.0,12976.1211711779,0.0,2251.3706289011857,0.0
LCV,2005,0.0,0.0,13366.769224396674,0.0,2366.7116195756907,0.0
LCV,2006,0.0,0.0,14082.072030413554,0.0,2532.939137117775,0.0
LCV,2007,0.0,0.0,14965.657225521547,0.0,2725.8814756547004,0.0
LCV,2008,0.0,0.0,15832.475224345162,0.0,2978.27935910431,0.0
LCV,2009,0.0,0.0,16488.086061289767,0.0,3177.0647310847694,0.0
LCV,2010,0.0,0.0,20562.807379750982,0.0,4164.580499716108,0.0
LCV,2011,0.0,0.0,32832.47330656004,0.0,8376.733599086912,0.0
LCV,2012,0.0,0.0,75595.40691527305,0.0,33341.19945707884,0.0
LCV,2013,0.0,0.0,251380.94728934663,0.0,250882.1682318545,0.0
LCV,2014,0.0,0.0,1137640.580288609,0.0,3137174.64056406,0.0
LCV,2015,0.0,0.0,5799775.826650688,0.0,49487933.69964271,0.0
LCV,2016,0.0,0.0,6940579.997377727,0.0,59657410.83166953,0.0
LCV,2017,0.0,0.0,8306694.3277798025,0.0,71381212.74468242,0.0
LCV,2018,0.0,0.0,9778671.452693822,0.0,84040702.12823138,0.0
LCV,2019,0.0,0.0,11228794.492922826,0.0,96934830.91187042,0.0
LCV,2020,0.0,0.0,11705211.66398976,0.0,101094562.09859142,0.0
LCV,2021,0.0,0.0,19719876.21498639,0.0,165695288.1318815,0.0
LCV,2022,0.0,0.0,28475618.37928334,0.0,223773881.24338576,0.0
LCV,2023,0.0,0.0,37894977.90452127,0.0,290578002.4469024,0.0
LCV,2024,0.0,0.0,47023026.47247978,0.0,359607949.3440735,0.0
LCV,2025,0.0,0.0,55627200.71932329,0.0,433919036.37721366,0.0
LCV,2026,0.0,0.0,63980183.73164574,0.0,511766113.27483195,0.0
LCV,2027,0.0,0.0,73336504.16939734,0.0,606051419.7702557,0.0
LCV,2028,0.0,0.0,81586785.69087617,0.0,688026826.1489844,0.0
LCV,2029,0.0,0.0,90036523.72963883,0.0,774382638.0520457,0.0
LCV,2030,0.0,0.0,98818643.14804319,0.0,863103172.1037374,0.0
LCV,2031,0.0,0.0,108219424.5455223,0.0,955527087.3834186,0.0
LCV,2032,0.0,0.0,117942728.22849034,0.0,1050530337.048187,0.0
LCV,2033,0.0,0.0,128209693.81076063,0.0,1148884688.2492216,0.0
LCV,2034,0.0,0.0,137276113.05913487,0.0,1248481478.1120522,0.0
LCV,2035,0.0,0.0,146206124.3840635,0.0,1352277899.9186256,0.0
LCV,2036,0.0,0.0,154391579.15064195,0.0,1455374814.4850006,0.0
LCV,2037,0.0,0.0,162837887.0320463,0.0,1566391202.8083842,0.0
LCV,2038,0.0,0.0,171574933.29889536,0.0,1687569302.9203076,0.0
LCV,2039,0.0,0.0,180176323.95789787,0.0,1820315428.890275,0.0
LCV,2040,0.0,0.0,188135846.5830174,0.0,1965853536.235803,0.0
LCV,2041,0.0,0.0,194866068.2483629,0.0,2099717841.0012677,0.0
LCV,2042,0.0,0.0,200985607.69513246,0.0,2230626953.6821156,0.0
LCV,2043,0.0,0.0,206525007.327225,0.0,2357411641.358464,0.0
LCV,2044,0.0,0.0,211516051.9423865,0.0,2479248419.5685124,0.0
LCV,2045,0.0,0.0,216067935.98821256,0.0,2595110997.041175,0.0
LCV,2046,0.0,0.0,219868210.50424007,0.0,2699542335.271186,0.0
LCV,2047,0.0,0.0,223371012.97696173,0.0,2797805805.7473874,0.0
LCV,2048,0.0,0.0,226719842.96191204,0.0,2889961955.780478,0.0
LCV,2049,0.0,0.0,229875018.71872547,0.0,2976893005.77128,0.0
LCV,2050,0.0,0.0,232922501.81055653,0.0,3058833059.2334056,0.0
