,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Light Commercial Vehicles,2040,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2041,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2042,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2043,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2044,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2045,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2046,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2047,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2048,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2049,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2050,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2051,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2052,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2053,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2054,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2055,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2056,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2057,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2058,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2059,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,2060,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1807,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1808,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1809,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1810,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1811,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1812,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1813,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1814,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1815,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1816,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1817,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1818,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1819,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1820,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1821,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1822,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1823,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1824,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1825,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1826,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1827,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1828,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1829,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1830,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1831,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1832,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1833,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1834,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1835,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1836,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1837,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1838,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1839,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1840,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1841,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1842,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1843,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1844,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1845,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1846,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1847,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1848,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1849,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1850,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1851,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1852,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1853,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1854,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1855,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1856,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1857,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1858,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1859,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1860,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1861,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1862,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1863,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1864,0.0,0.0,0.0,0.0,0.0,0.0
Medium Freight Trucks,1865,0.0,0.0,0.0,0.0,0.0,0.0
