years,regions,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
1976,7,102427800000.0,5857801000.0,,69142620000.0,10689780000.0,53507130000.0,48299800000.0,29436720000.0,655700500000.0,,267674400.0,0.0,291541300.0
1976,8,122728700000.0,8634184000.0,,75700570000.0,5953890000.0,110480900000.0,13762651000.000002,9950905000.0,327586100000.0,,535171500.00000006,0.0,3571624000.0
1976,9,74711510000.0,5256086000.0,,30521970000.0,2400569000.0,67255600000.0,4437681000.000001,3239346000.0,65909869999.99999,,371119950.0,0.0,1222626000.0
1976,10,20202610000.0,1421289000.0,,13686470000.0,1076448000.0,18186470000.0,115056980000.0,86028100000.0,454146600000.0,,615558000.0,0.0,28228800000.0
1976,11,590036500000.0,222024000000.0,,2140445000000.0002,146560100000.0,165565800000.0,650641910000.0,274710000000.0,11103190000000.0,,18691755000.0,89575860000.0,949998600000.0
1976,12,397533100000.0,176849300000.0,,164712900000.0,10744230000.0,55546360000.0,88113336000.0,380473400000.0,162112200000.0,,90782700.0,0.0,55091070000.0
1976,13,65370559999.99999,24598200000.0,,89526920000.0,6130069000.0,18343150000.0,36747291000.0,7696787000.0,212183400000.0,,185347200.0,9924173000.0,173287700000.0
1976,14,185619700000.0,90596560000.0,,26375720000.0,31688769999.999996,30291150000.0,25397940000.0,405032500000.0,124137900000.0,,42504305.0,0.0,2761977000.0
1976,15,113264600000.0,55281750000.0,,16094390000.0,19336390000.0,18483570000.0,51445450000.00001,348121300000.0,37063780000.0,,123128150.0,0.0,85557000000.0
1976,16,441422200000.0,215447700000.0,,89516390000.0,107548300000.0,72035410000.0,154262060000.0,2042299000000.0,327919700000.0,,808850000.0,0.0,55664020000.0
1976,17,98738090000.0,5646786000.0,,81416790000.0,12587420000.0,51579650000.0,659572300000.0,35100030000.0,4340576000000.0,,9995820000.0,0.0,2309077000.0
1976,18,460604000000.0,80214730000.0,,53797880000.0,9006683000.0,434636000000.0,115028940000.0,140195200000.0,24307550000.0,,242430600.0,0.0,51884250000.0
1976,19,86484280000.0,6690760000.0,,16483660000.0,4756302000.0,33147100000.0,20428512000.000004,3906216000.0,130134300000.0,,1288429000.0,0.0,28841750000.0
1976,20,227931900000.0,81214350000.0,,191605300.0,5980575000.0,682656900000.0,61919979999.99999,245751000000.0,170220100000.0,,1302811500.0,0.0,477940200000.0
1976,21,316536300000.0,24488480000.0,,38237000000.0,11033150000.0,121319900000.0,124893710000.0,5191213000.0,1217717000000.0,,3121815500.0,0.0,159990100000.0
1976,22,225612900000.0,17454290000.0,,20142060000.0,5811920000.0,86471360000.0,69483050000.0,2472458000.0,434606300000.0,,41942010.0,0.0,76218200000.0
1976,23,341604600000.0,252997299999.99997,,393505800000.0,97816930000.0,40329740000.0,158282560000.0,73327690000.0,1163342000000.0,,4273359000.0000005,116984300000.0,1023946000000.0
1976,24,56653650000.0,41958510000.0,,65261240000.0,16222520000.0,6688514000.0,42937900000.0,42289280000.0,296346200000.0,,1862136500.0,19401340000.0,385282000000.0
1976,25,132426200000.0,23062180000.0,,10471530000.0,1753112000.0,124960300000.0,50728857000.0,2223000000.0,506956400000.0,,381647000.0,0.0,11495500000.0
1976,26,41659240000.0,2930801000.0,,17311060000.0,1361524000.0,37501820000.0,24253898000.0,14505370000.0,152140500000.0,,30973835.0,0.0,8886586000.0
1977,1,21376690000.0,4474190000.0,,408741600000.0,34969760000.0,5083493000.0,62698988000.0,142759600000.0,265499400000.00003,,578642500.0,0.0,42688130000.0
1977,2,201080600000.0,42086630000.0,,3844843000000.0,328944300000.0,47818060000.0,1766962299999.9998,1633613000000.0,9806542000000.0,,20229000000.0,0.0,663939200000.0
1977,3,109082900000.0,6006770000.0,,129829499999.99998,8268274000.000001,37577370000.0,66774899999.99999,32510840000.0,346824400000.0,,252606700.0,0.0,23597870000.0
1977,4,85039120000.0,4682771000.0,,37517970000.0,2389356000.0,29294650000.0,271724800000.00006,38604380000.0,200304400000.0,,680755000.0,0.0,71976620000.0
1977,5,191340100000.0,10536350000.0,,206120000000.0,13126880000.0,65913690000.0,283933880000.0,37368830000.0,448232700000.0,,1160831000.0,0.0,65033450000.0
1977,6,192113200000.00003,10578920000.0,,228651300000.0,14561800000.0,66179989999.99999,342638710000.0,49961730000.0,652796900000.0,,3010436000.0,0.0,100160800000.0
1977,7,107650400000.0,6156479000.0,,79484080000.0,12937710000.0,54402540000.0,51805990000.0,30682740000.0,717336500000.0,,319915650.0,0.0,315168600.0
