,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
HFT,2010,0.0,0.0,4106.15158842311,0.0,489.36209071649984,0.0
HFT,2011,0.0,0.0,6424.0703939525065,0.0,939.4199692377514,0.0
HFT,2012,0.0,0.0,14958.640386474788,0.0,3662.7438397321334,0.0
HFT,2013,0.0,0.0,57384.10137464846,0.0,31355.17142263519,0.0
HFT,2014,0.0,0.0,315734.6194966798,0.0,482177.36884944374,0.0
HFT,2015,0.0,0.0,2746873.8823616514,0.0,15241632.85956694,0.0
HFT,2016,0.0,0.0,3328465.0314503033,0.0,18565505.990847394,0.0
HFT,2017,0.0,0.0,4060706.3781529847,0.0,22590244.23771942,0.0
HFT,2018,0.0,0.0,4892740.761732449,0.0,27158462.74102046,0.0
HFT,2019,0.0,0.0,5789326.604287805,0.0,32174567.336339,0.0
HFT,2020,0.0,0.0,5912023.792141235,0.0,32972247.067176398,0.0
HFT,2021,0.0,0.0,14149275.485664958,0.0,50827962.9595877,0.0
HFT,2022,0.0,0.0,22459110.714274406,0.0,71590335.94297849,0.0
HFT,2023,0.0,0.0,30090345.612149213,0.0,96258575.27002312,0.0
HFT,2024,0.0,0.0,36844335.59227851,0.0,123525284.08172955,0.0
HFT,2025,0.0,0.0,42624533.8818684,0.0,156681788.4972861,0.0
HFT,2026,0.0,0.0,48087187.47672889,0.0,195759944.31309226,0.0
HFT,2027,0.0,0.0,53465041.32780227,0.0,235906934.91856182,0.0
HFT,2028,0.0,0.0,58878595.2980623,0.0,277401713.41754293,0.0
HFT,2029,0.0,0.0,64467129.87868464,0.0,321162320.49621016,0.0
HFT,2030,0.0,0.0,70381573.90248759,0.0,366704571.28945434,0.0
HFT,2031,0.0,0.0,76555007.2099699,0.0,414876961.84333915,0.0
HFT,2032,0.0,0.0,82840291.61435059,0.0,464662878.8024942,0.0
HFT,2033,0.0,0.0,89235044.0897263,0.0,517206440.03159606,0.0
HFT,2034,0.0,0.0,95878233.90338454,0.0,570523788.5941261,0.0
HFT,2035,0.0,0.0,102662482.85323873,0.0,629496538.7767799,0.0
HFT,2036,0.0,0.0,109362103.13815542,0.0,689879217.0236503,0.0
HFT,2037,0.0,0.0,116954882.5040846,0.0,758112283.1770173,0.0
HFT,2038,0.0,0.0,125426404.07657501,0.0,832880957.9573681,0.0
HFT,2039,0.0,0.0,134215040.78338413,0.0,918401907.4226015,0.0
HFT,2040,0.0,0.0,143021186.51785836,0.0,1013958886.5231602,0.0
HFT,2041,0.0,0.0,151000514.37525734,0.0,1103737818.176539,0.0
HFT,2042,0.0,0.0,158688246.67587143,0.0,1191229857.4994032,0.0
HFT,2043,0.0,0.0,165987376.7418588,0.0,1275956823.13962,0.0
HFT,2044,0.0,0.0,172808332.6815009,0.0,1357250380.9289286,0.0
HFT,2045,0.0,0.0,179066571.40653104,0.0,1435261029.8269384,0.0
HFT,2046,0.0,0.0,184496123.11705372,0.0,1505513800.1097522,0.0
