years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
2046,19272195.27474335,106200.36327007395,8369.980621983092,1834125863.6675057,42029.80608589792,1104946258.974359,204665424.00417024,157039.43396967027,24683.177229315108,409007.14613727736,20463.1160432175
2047,19406176.957264975,106904.30265635498,8654.204824642089,1869727639.1024027,43530.59517505661,1096538417.628205,207458700.28357798,159209.59063820503,24219.194285626934,411416.16080924147,20812.169428229525
2048,19542556.63601508,107609.10625321447,8956.90093569015,1906212923.9620016,45069.54048013973,1088610572.4358974,210290133.4423741,161316.553420956,23755.009983080403,413840.2216061954,21163.90764414079
2049,19666404.3206024,108233.68698119221,9269.663943088079,1941656042.5396023,46597.41972622613,1080415728.525641,213166649.53369275,163142.58958738233,23309.062018075856,416284.06645947706,21504.304073029427
2050,19782819.631954093,108795.45943588109,9597.55466235441,1976823445.437041,48132.57060587665,1072420598.7179487,216079845.28148022,164954.93085405018,22881.469457243285,418744.51452604553,21838.00565842277
2051,19881769.32345296,109231.34326888582,9944.604477035191,2011396422.207611,49678.60867067101,1064036165.7051282,218379182.9163807,166825.2569075187,22450.122931406262,420810.6996082551,22158.390269217143
2052,19976076.822798792,109609.45956191624,10311.551524013372,2046205816.6617887,51245.21111384456,1056003124.3589743,220702723.1442288,168522.60795949664,22036.248410188167,422883.5464524517,22475.84391028911
2053,20061315.541870464,109910.80403535679,10695.884831412339,2080593397.2618444,52811.932750690416,1048242449.0384616,223054652.86635065,170213.83707825502,21639.76095825666,424960.94049428136,22784.906457610166
2054,20142340.117426753,110151.71333960663,11104.619769635394,2115461541.3620014,54401.39450049498,1041039900.0,225431986.16599697,171897.35215477773,21259.18524750355,427037.9378053917,23091.876918760892
2055,20220658.966286644,110331.11322190819,11542.578286844713,2151293473.345846,56022.94251234875,1034285169.2307693,227838478.99968156,173608.67917326617,20894.34885657304,429115.63103885413,23400.112854106792
2056,20273025.81644573,110325.00445553962,12002.82017939008,2185704607.984754,57616.535126894676,1026669533.0128205,230029269.57347617,175237.54177073174,20529.378902931665,430934.08241185744,23685.98918492911
2057,20315903.57387655,110224.32041943447,12491.175732041935,2220097444.175877,59209.36065859423,1019236167.948718,232249271.2349625,176635.4846393299,20181.322548032847,432763.01406560454,23964.289345542376
2058,20353445.30249488,110052.12062351953,13016.244385386797,2255256436.799946,60824.45837974361,1012250734.9358974,234499262.91564992,178059.77120693022,19849.763592586434,434604.76828380686,24240.621473485866
2059,20384911.502464708,109805.6656083871,13581.279839799277,2291144411.9930487,62461.17570054191,1005641517.6282052,236782098.12531573,179505.5059082354,19534.995200243462,436453.4833402891,24514.44868713283
2060,20407120.03042177,109475.34437300629,14185.937752497897,2327203353.211314,64102.10130751687,999295127.5641025,239099420.95936003,180966.45335653124,19236.13675613493,438307.2975341474,24780.476650585406
